title,address,contact_number,amenities,coordinate,regency
Villa Pribadi Bagus Sudrajat,"link.Kracak Landoh, Jl. Sunan Bonang, RT.019/RW.004, Batukuda, Kec. Mancak, Kabupaten Serang, Banten 42441 ",,,"-6.0432229, 105.9983001",  Serang
Villa Alfa,"Cluster Jl. Mahoni VI No.38, Suka Harja, Kec. Cikupa, Kabupaten Tangerang, Banten 15560 ",,,"-6.1924156, 106.5159303",  Tangerang
Musholla ANNUR Villa Taman Cibodas,"Villa Taman Cibodas, Jl. Anyelir Raya, RT.007/RW.011, Sangiang Jaya, Periuk, Tangerang City, Banten 15132 ",phone:tel:08128160992,,"-6.17616, 106.6016065", Tangerang 
Villa urita,"P43X+48X, Unnamed Road, Pagadungan, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42251 ",,,"-6.2971466, 106.1483445",  Pandeglang
villa,"Jl. Lurah Thamrin, Sukamanah, Kec. Rajeg, Kabupaten Tangerang, Banten 15540 ",phone:tel:085814411222,,"-6.1223608, 106.5160553",  Tangerang
SINAR VILLA KITA,"Jl.palasaru raya.no.88.kec.legok belakang PLP Curug.tangerwng, RT.002/RW.016, Cibodasari, Kec. Cibodas, Kota Tangerang, Banten 15138 ",,,"-6.2096924, 106.613861",  Tangerang
VILLA SAWAH HAROMAIN,"W7M2+33Q, Sukanegara, Pontang, Serang Regency, Banten 42192 ",phone:tel:081905115922,,"-6.0672996, 106.250232", Serang 
Villa silo,"QG96+5FV, Sukamulya, Cikupa, Tangerang Regency, Banten 15710 ",,,"-6.2319302, 106.5110809", Tangerang 
Villa tomang baru blok G7 Nomor 6,"Jl. Villa Tomang Baru No.6, Kuta Jaya, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560 ",phone:tel:081381842424,,"-6.1609855, 106.5869379",  Tangerang
PASHABARI VILLA,"R344+JW, Kadubeureum, Pabuaran, Serang Regency, Banten 42163 ",phone:tel:081808488802,,"-6.193483, 106.057276", Serang 
VILLA 69 PASAR KEMIS,"Jl. Raya Ps. Kemis No.23, RW.3, Sindang Panon, Kec. Sindang Jaya, Kabupaten Tangerang, Banten 15560 ",,,"-6.1685191, 106.5307772",  Tangerang
Villa Cibunut,"Q4F7+2V7, Jl. Raya Kelapa lima, Tamansari, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2274636, 106.1146851",  Serang
Villa Balaraja blok M2.27,"RCMX+47W, Saga, Balaraja, Tangerang Regency, Banten 15610 ",,,"-6.167135, 106.4482165", Tangerang 
Metro Villa Blok D19 No 24,"2324+XW8, Jl. Lingk. Kependilan. II, Gedong Dalem, Kec. Jombang, Kota Cilegon, Banten 42413 ",,,"-5.9975961, 106.0573182",  Cilegon
"Kost Villago Perumahan Villa Balaraja, Blok N6 Nomor 15","Saga, Balaraja, Tangerang Regency, Banten ",phone:tel:08881055229,,"-6.1648247, 106.448672", Tangerang 
Villa Melati,"W3F3+22X, Jl. Pedali, Melati, Kec. Waringinkurung, Kabupaten Serang, Banten 42453 ",,,"-6.0773777, 106.0526021",  Serang
JBP villa,"Blok B6 no 09, Rajeg Mulya, Kabupaten Tangerang, Banten 15540 ",,,"-6.1105703, 106.5281289",  Tangerang
Villa abet,"R4MV+R7C, Tembong, Cipocok Jaya, Serang City, Banten 42126 ",phone:tel:087721627254,,"-6.1654412, 106.1431486", Serang 
Villa Sunardi,"VGMW+54V, Mekarsari, Rajeg, Tangerang Regency, Banten 15540 ",,,"-6.1170241, 106.5453092", Tangerang 
Villa EACN TGH,"V57R+QHM, Kotabaru, Kec. Serang, Kota Serang, Banten 42122 ",,,"-6.1355381, 106.1914367",  Serang
"Villa ""LE'BUR""","VGGF+MJ9, Unnamed Road, Sukamanah, Kec. Rajeg, Kabupaten Tangerang, Banten 15540 ",phone:tel:083874189705,,"-6.1233457, 106.5241164",  Tangerang
Legon Villa,"M3MV+GVH, Cilaja, Majasari, Pandeglang Regency, Banten 42211 ",,,"-6.3161873, 106.0947333", Pandeglang 
Villa AK,"RG7H+683 Suka Raja, Desa, Suka Harja, Sindang Jaya, Tangerang Regency, Banten 15560 ",,,"-6.1869861, 106.5282997", Tangerang 
Villa Aa,"Q479+J3J, Jl. KH. Said, Panyirapan, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2359214, 106.1176328",  Serang
Villa Balaraja blok K1 no 14,"RCJX+P9P, Jl. Villa, Saga, Kec. Balaraja, Kabupaten Tangerang, Banten 15610 ",,,"-6.168155, 106.4484671",  Tangerang
VILLA MUTIARA CIUJUNG,"V73H+JV5, Kendayakan, Kragilan, Serang Regency, Banten 42184 ",phone:tel:02547933700,,"-6.1459867, 106.2797471", Serang 
Villa Po Hin,"Lavon 2 cluster Margonite 6, blok D5, RW.no: 39, Sindang Jaya, Tangerang Regency, Banten 15560 ",,,"-6.1618223, 106.5078772", Tangerang 
Villa beautycare,"Komplek banten indah permai, Blk. H1 No.25, Unyur, Kec. Serang, Kota Serang, Banten 42111 ",phone:tel:089694448631,,"-6.0902559, 106.1685334",  Serang
Villa Balaraja Blok E9 No 11,"Villa Balaraja, Saga, Kec. Balaraja, Kabupaten Tangerang, Banten 15610 ",phone:tel:082123245790,,"-6.17304, 106.4514231",  Tangerang
Villa Hasan Bewok,"Q745+556, Unnamed Road, Dahu, Kec. Cikeusal, Kabupaten Serang, Banten 42175 ",,,"-6.2445987, 106.2578926",  Serang
Villa Balaraja blok m7 no 3,"Jl. Perum Vila Balaraja No.3, Saga, Kec. Balaraja, Kabupaten Tangerang, Banten 15610 ",,,"-6.1661753, 106.4483138",  Tangerang
Villa Sharia Delta,"Kasemen, Serang, Serang City, Banten 42191 ",phone:tel:087882802737,,"-6.0835989, 106.1475854", Serang 
villa kendal,"Jl. Kp. Pondok No.279, Sindang Panon, Kec. Sindang Jaya, Kabupaten Tangerang, Banten 15560 ",,,"-6.1704523, 106.5218651",  Tangerang
Villa 5C,"Jl. Raya Anyer-Sirih No.129, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166 ",,,"-6.0668658, 105.8944826",  Serang
Villa balaraja blok J4,"RCJX+G7Q, Jl. Al Barkah, Saga, Kec. Balaraja, Kabupaten Tangerang, Banten 15610 ",,,"-6.1686637, 106.4482349",  Tangerang
Villa Bukit Tirta Lestari,"Unnamed Road, Sepang, Kec. Taktakan, Kota Serang, Banten 42162 ",phone:tel:087882802737,,"-6.1484702, 106.1303656",  Serang
Villa Permata,"Sindangsari, Pasar Kemis, Tangerang Regency, Banten ",,,"-6.13999, 106.52772", Tangerang 
Villa Triper,"Komplek Ambuleuit Blok W. 262, RT.03/RW.12, Cigadung, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42251 ",phone:tel:087771278009,,"-6.2834851, 106.114153",  Pandeglang
Villa balaraja blok B1 no 08,"Perumahan Villa balaraja blok B1 no 08, RT.11/RW.04, Saga, Kec. Balaraja, Kabupaten Tangerang, Banten 15610 ",phone:tel:085664664200,,"-6.1760413, 106.4474844",  Tangerang
VILLA NAGREG IKBA PUMA,"V7MH+V8G, Jeruktipis, Kragilan, Serang Regency, Banten 42184 ",,,"-6.1153141, 106.2783372", Serang 
Villa Hijau,"RH46+RCG, Jalan, RT.005/RW.002, Pasir Jaya, Jatiuwung, Tangerang City, Banten 15135 ",,,"-6.1929372, 106.5610748", Tangerang 
Villa SABA JUHUT,"Cinyurup, Karang Tanjung, Pandeglang Regency, Banten 42251 ",phone:tel:081911164253,,"-6.2881391, 106.0859845", Pandeglang 
Villa Permata Zircon gebrakan MLARAT jumat berkah,"Villa permata hijau cluster Zircon blok k1 no 5, RT.8/RW.1, kelurahan serdang, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",phone:tel:085215649754,,"-6.0415029, 106.0849473",  Serang
Villa Ternak Cikerai,"Jl. Cikerai Pasir Angin Cikerai Cibeber, Bagendung, Kec. Cilegon, Kota Cilegon, Banten 42419 ",phone:tel:085945440693,,"-6.0785969, 106.0286648",  Cilegon
Villa Kebon,"W238+PR, Talaga, Mancak, Serang Regency, Banten ",,,"-6.095747, 106.017108", Serang 
Villa Neng Nurita,"Kp.Ciceblok Barat,Rt08/rw02,Ds.Talaga warna,kec.pabuaran,Kab.serang,frov.banten, Pancanegara, Kec. Pabuaran, Kabupaten Serang, Banten 42163 ",,,"-6.1944453, 106.0934116",  Serang
Villa timbang,"R5WG+3JJ, Cilaku, Curug, Serang City, Banten 42171 ",,,"-6.1551556, 106.1760038", Serang 
Villa Permata Hijau Cluster Garnet,"X35P+JQ8, Serdang, Kramatwatu, Serang Regency, Banten 42616 ",,,"-6.040958, 106.0869568", Serang 
Villa Permata Hijau Cluster Amethys,"X34P+XRV, Serdang, Kramatwatu, Serang Regency, Banten 42616 ",,,"-6.0425217, 106.0870398", Serang 
Aef .villa Pelamunan Asri,"W4FC+W2W, Pelamunan, Kramatwatu, Serang Regency, Banten 42161 ",phone:tel:085946979059,,"-6.0751496, 106.1200871", Serang 
Rumah okto / villa permata,"X34P+PC7, Margatani, Kramatwatu, Serang Regency, Banten 42616 ",,,"-6.0432033, 106.0860343", Serang 
Cluster Villa Sharia Delta,"Angsana, Kasemen, Serang City, Banten 42191 ",phone:tel:087882802737,,"-6.0839149, 106.1478488", Serang 
Villa Permata Hijau Cluster Jade,"Jl. Raya Serang, Serdang, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",,,"-6.040694, 106.0852755",  Serang
Villa haji rudin,"R55R+X5R, Lingkungan Jl. Tinggar - Nyapah, RT.03/RW.02, Sukalaksana, Kec. Curug, Kota Serang, Banten 42171 ",,,"-6.1900173, 106.190405",  Serang
Villa Cigeblag,"XX7W+H47, Jl. Sunan Bonang, Banjar Negara, Kec. Ciwandan, Kota Cilegon, Banten 42441 ",,,"-6.0360829, 105.9952942",  Cilegon
Irawaty Villa,"Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten 42211 ",,,"-6.314835, 106.103897", Pandeglang 
Villa Naraya,"Q5JH+GG4, Nagara Padang, Petir, Serang Regency, Banten 42172 ",,,"-6.2187375, 106.1788156", Serang 
Villa Gandarasa,"Jl. AMD Lintas Tim. No.16, Kadumerak, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42251 ",,,"-6.3064725, 106.1232639",  Pandeglang
Villa Ternak Cikerai,"W2CH+CH3, Balekambang, Mancak, Serang Regency, Banten 42165 ",,,"-6.0789987, 106.0289153", Serang 
Villa Permata Hijau Cluster Crystal,"X36P+8CF, Serdang, Kramatwatu, Serang Regency, Banten 42616 ",phone:tel:085648115704,,"-6.0391873, 106.0860618", Serang 
Villa Theora,"Q3M8+W2J, Tanjungsari, Pabuaran, Serang Regency, Banten 42163 ",,,"-6.2151607, 106.0650268", Serang 
Villa Abah Danu,"Jl. Raya Palka No.Km 24, Kp. Masig, Kec. Padarincang, Kabupaten Serang, Banten 42168 ",,,"-6.2086454, 106.0191097",  Serang
Villa Permata Hijau Cluster Saphire,"Unnamed Road, Margatani, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",,,"-6.041956, 106.0854874",  Serang
"Metro Villa, Cilegon","Jl. Kependilan Komp.Metrovilla No.II, Gedong Dalem, Kec. Jombang, Kota Cilegon, Banten 42413 ",,,"-6.0024147, 106.060911",  Cilegon
Villa Preneur,"W2CH+7MQ, Balekambang, Mancak, Serang Regency, Banten 42165 ",phone:tel:087886378000,,"-6.0792968, 106.0292225", Serang 
Villa Juli Rahma,"Ranjeng, Ciruas, Serang Regency, Banten 42182 ",,,"-6.1124388, 106.2313443", Serang 
HBs + Iat Villa,"Blok E 6, Jl. Sulawesi VI Jl. Jombang Raya No.2, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.2944629, 106.7062258",  Tangerang Selatan
Kemang club vila,"PP53+64Q, Jl. Villa Bintaro Indah, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.2919116, 106.7028693",  Tangerang Selatan
Villa Dita,"Jl. H. Som Gg. Rw. I No.55, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15229 ",,,"-6.2762705, 106.7125816",  Tangerang Selatan
VILLA JOMBANG BARU BLOK D3/NO.8,"MPW7+HXJ, Jl. Jombang Baru, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.3035469, 106.7149044",  Tangerang Selatan
Villa Merah Townhouse,"Jl. Komp. Puri Bintaro No.83, Sawah Baru, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413 ",,,"-6.2872277, 106.7190551",  Tangerang Selatan
Villa Bintaro Indah,"Pondok Pucung, Pondok Aren, South Tangerang City, Banten ",,,"-6.29316, 106.70713", South Tangerang 
Villa Roni,"Jl. Kp. Cilalung No.05, RT.05, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.3006043, 106.7067647",  Tangerang Selatan
Villa Bintaro Indah Blok A1 No.2,"Jl. Villa Bintaro Indah No.2, Jombang, Ciputat, South Tangerang City, Banten 15414 ",phone:tel:085161093024,,"-6.2918948, 106.7023971", South Tangerang 
Villa BSD City by REQhome,"Jl. Palm Merah II No.44, Rw. Buntu Kec. Serpong, Kota Tangerang Selatan, Banten, Daerah Khusus Ibukota Jakarta 15310 ",phone:tel:08119591026, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Fitness center unavailable ,"-6.3041804, 106.6789131",  Tangerang Selatan
Villa Bintaro Indah Blok B9 no 4A,"PP33+HQJ, Jl. Komp. Villa Bintaro Indah, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.2960252, 106.704387",  Tangerang Selatan
Villa Bintaro Asri,"Jl. W R Supratman No.100, Pd. Ranji, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412 ",,,"-6.2801852, 106.7468209",  Tangerang Selatan
Villa Bintaro Indah Blok A5/6,"PP53+G6C, Jl. Villa Bintaro Indah, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.291177, 106.7030017",  Tangerang Selatan
Villa Gunung Lestari Blok B1 No 28,"Villa Gunung Lestari Blok B1 No. 28, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.3049021, 106.7114528",  Tangerang Selatan
Villa Boncos,"blok f8 no.21b, Jl. Utama Puri Bintaro Hijau, RT.003/RW.007, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224 ",,,"-6.2508406, 106.708689",  Tangerang Selatan
VILLA ANGELA,"Jl. Wiru Indah II No.44, Parung Serab, Kec. Ciledug, Kota Tangerang, Banten 15153 ",phone:tel:081286134851,,"-6.2514945, 106.6994698",  Tangerang
Kebayoran Villas,"Kebayoran Villas, Jl. Kby. Residence, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224 ",,,"-6.2656105, 106.7104404",  Tangerang Selatan
Villa Mutiara,"PP29+VVJ, Jl.Mutiara IV No.KK7, Jl. Mirah V, Sawah Baru, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413 ",,,"-6.2995199, 106.7198307",  Tangerang Selatan
Villa Gunung Lestari B5 No 15,"Jl. Merbabu Raya, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",phone:tel:081334081084,,"-6.3053017, 106.7107881",  Tangerang Selatan
Toto villa,"PPX5+R7C, Unnamed Road, RT.004/RW.007, Parung Serab, Ciledug, Tangerang City, Banten 15153 ",,,"-6.250446, 106.7081425", Tangerang 
Villa Jombang Baru,"MPW8+683, Jl. Jombang Baru II, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414 ",,,"-6.3044761, 106.71579",  Tangerang Selatan
Villa Bintaro Indah Blok D2 No.6,"Jl. Halmahera No.6, Jombang, Ciputat, South Tangerang City, Banten 15414 ",,,"-6.2970396, 106.7068394", South Tangerang 
Villa Bintaro Indah BVII/17 Jombang Ciputat,"Villa Bintaro Indah BVII/17, Jombang, Ciputat, South Tangerang City, Banten 15414 ",,,"-6.2950727, 106.7052413", South Tangerang 
