title,review_point,review_total,sub_category,address,contact_number,open_hours,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,coordinate,link,Accessibility,regency,price_level,site,Planning,short_description,Highlights,check_in,From the business,metadata,Popular for,check_out,amenities
Fast Food Restaurant,,,Restaurant,"Karyajaya, Bayongbong, Garut Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,,"-7.260132, 107.8394712",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e68a5461951751d:0x624177e921e785af!8m2!3d-7.260132!4d107.8394712!16s%2Fg%2F11p65qz00f!19sChIJHXVRGUalaC4Rr4XnIel3QWI?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Rumah Makan Mamah Dedeh,4.2,62 reviews,Sundanese restaurant,"Depok, Cisompet, Garut Regency, West Java 44174 ",phone:tel:082317210092, 8AM to 8PM,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Late-night food,Breakfast | Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.6181562, 107.7568936",https://www.google.com/maps/place/Rumah+Makan+Mamah+Dedeh/data=!4m7!3m6!1s0x2e66172e6333af63:0x45a67e19b8ede082!8m2!3d-7.6181562!4d107.7568936!16s%2Fg%2F11hd1m8t1t!19sChIJY68zYy4XZi4RguDtuBl-pkU?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating, Garut ,,,Accepts reservations,,,,,,,,
Mie Bakso Putra Sunda Ibu Een,5.0,3 reviews,Bakso restaurant,"FR2Q+Q8C, kp.puspasari, Jatisari, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",, Open 24 hours,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.5480564, 107.8382601",https://www.google.com/maps/place/Mie+Bakso+Putra+Sunda+Ibu+Een/data=!4m7!3m6!1s0x2e661b6a14cc171f:0xdff3fd3182edcd84!8m2!3d-7.5480564!4d107.8382601!16s%2Fg%2F11fn42mgbm!19sChIJHxfMFGobZi4RhM3tgjH9898?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Amat Baso,5.0,1 review,Bakso restaurant,"9QX9+6VH, Depok, Cisompet, Garut Regency, West Java 44174 ",phone:tel:085877133536, 6:30AM to 7:30PM,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6024296, 107.7700696",https://www.google.com/maps/place/Amat+Baso/data=!4m7!3m6!1s0x2e66115a47283c31:0x94ced6412724f19f!8m2!3d-7.6024296!4d107.7700696!16s%2Fg%2F11qbbf_5xj!19sChIJMTwoR1oRZi4Rn_EkJ0HWzpQ?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Neng adiba,,,Seblak restaurant,"FM7P+3HW, Kertamukti, Cikelet, Garut Regency, West Java 44177 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.5372652, 107.6864622",https://www.google.com/maps/place/Neng+adiba/data=!4m7!3m6!1s0x2e66192488892eaf:0x5f697b0658c15894!8m2!3d-7.5372652!4d107.6864622!16s%2Fg%2F11sm7bcscm!19sChIJry6JiCQZZi4RlFjBWAZ7aV8?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Fast Food Restaurant,,,Fast food restaurant,"Girimukti, Singajaya, Garut Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual,Groups,,"-7.4727106, 107.9097621",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e6603a1bbc207ff:0x4b7de0485b5804ab!8m2!3d-7.4727106!4d107.9097621!16s%2Fg%2F11fsr1c1b_!19sChIJ_wfCu6EDZi4RqwRYW0jgfUs?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Mie Baso Urat Barokah,5.0,1 review,Bakso restaurant,"GRXG+67Q, Jl. Amblas, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171 ",,,,,,,,,,"-7.4519074, 107.8257378",https://www.google.com/maps/place/Mie+Baso+Urat+Barokah/data=!4m7!3m6!1s0x2e661d1b7fc3ae83:0xc142c293387ffb1c!8m2!3d-7.4519074!4d107.8257378!16s%2Fg%2F11j1j6bl12!19sChIJg67DfxsdZi4RHPt_OJPCQsE?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Mie baso UBED khas Bandung,,,Restaurant,"HJ8W+CC9, Jln Nangkaruka, Panyindangan, Pakenjeng, Garut Regency, West Java 44164 ",, 9AM to 9PM,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.4339508, 107.6461156",https://www.google.com/maps/place/Mie+baso+UBED+khas+Bandung/data=!4m7!3m6!1s0x2e6621343e41c62d:0xb35a68c56d3394e7!8m2!3d-7.4339508!4d107.6461156!16s%2Fg%2F11ftx55g33!19sChIJLcZBPjQhZi4R55QzbcVoWrM?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Warung Sundawa,1.0,1 review,Tegal restaurant,"9QP7+H8, Depok, Cisompet, Garut Regency, West Java 44174 ",, 6AM to 10PM,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.613523, 107.7633216",https://www.google.com/maps/place/Warung+Sundawa/data=!4m7!3m6!1s0x2e6617f838a17899:0xdd793bee96fdc6cb!8m2!3d-7.613523!4d107.7633216!16s%2Fg%2F11sgnzm2ch!19sChIJmXihOPgXZi4Ry8b9lu47ed0?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Mie Bakso Hanna,3.0,1 review,Bakso restaurant,"HM2Q+MH8, Jl. Raya Jatiwangi - Bungbulang, Kp. Cijulang, Jatiwangi, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.4483347, 107.6889385",https://www.google.com/maps/place/Mie+Bakso+Hanna/data=!4m7!3m6!1s0x2e661f332ab54079:0x89836ed950ef43c7!8m2!3d-7.4483347!4d107.6889385!16s%2Fg%2F11fp1rknhs!19sChIJeUC1KjMfZi4Rx0PvUNlug4k?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Fast Food Restaurant,,,Fast food restaurant,"Singajaya, Garut Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids | Toilets,,Groups,,"-7.4825098, 107.9100144",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e66039cf39b08ff:0xf7d1932767a25d4f!8m2!3d-7.4825098!4d107.9100144!16s%2Fg%2F11k5t5jm0m!19sChIJ_wib85wDZi4RT12iZyeT0fc?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Warung Nasi Khas Sunda Teh Lilis Medong,,,Restaurant,"9P2Q+JM9, Jl. Sirna Bakti, Sirnabakti, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175 ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,,Cash only,"-7.6484713, 107.739243",https://www.google.com/maps/place/Warung+Nasi+Khas+Sunda+Teh+Lilis+Medong/data=!4m7!3m6!1s0x2e6616955ac7db7f:0x350c7b55fcc7a9ac!8m2!3d-7.6484713!4d107.739243!16s%2Fg%2F11j4t6gxfn!19sChIJf9vHWpUWZi4RrKnH_FV7DDU?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Warung Nasi Sarina,4.0,11 reviews,Nasi restaurant,"HRGF+HM8, Kp Simpang, RT.RW/RW.001.001, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44172 ",,,Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-7.4235873, 107.824209",https://www.google.com/maps/place/Warung+Nasi+Sarina/data=!4m7!3m6!1s0x2e661d96e3a7d3df:0x575ae5c285fad5b8!8m2!3d-7.4235873!4d107.824209!16s%2Fg%2F11j62s62cn!19sChIJ39On45YdZi4RuNX6hcLlWlc?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Warung baso ceker teh uwok,,,Restaurant,"8PWW+XFJ, Sirnabakti, Pameungpeuk, Garut Regency, West Java 44175 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6525358, 107.746128",https://www.google.com/maps/place/Warung+baso+ceker+teh+uwok/data=!4m7!3m6!1s0x2e6617d4e1a94f55:0x7d7455d3a28f2b18!8m2!3d-7.6525358!4d107.746128!16s%2Fg%2F11ly4yrsmb!19sChIJVU-p4dQXZi4RGCuPotNVdH0?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Warung nasi kurnia,,,Nasi restaurant,"JP2C+Q4X, Pananjung, Pamulihan, Garut Regency, West Java 44168 ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.3980026, 107.7203577",https://www.google.com/maps/place/Warung+nasi+kurnia/data=!4m7!3m6!1s0x2e68a11025626b15:0xe62554a5ebba2d62!8m2!3d-7.3980026!4d107.7203577!16s%2Fg%2F11hd_zp_1t!19sChIJFWtiJRChaC4RYi2666VUJeY?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Warung baso mimih aden,,,Bakso restaurant,"FM6J+3F, Kertamukti, Cikelet, Garut Regency, West Java 44177 ",phone:tel:085224318039, Open 24 hours,,,,,,,,"-7.5398328, 107.6815043",https://www.google.com/maps/place/Warung+baso+mimih+aden/data=!4m7!3m6!1s0x2e66199e88fd50eb:0x52d74c8a1d934f07!8m2!3d-7.5398328!4d107.6815043!16s%2Fg%2F11rv1xcz8f!19sChIJ61D9iJ4ZZi4RB0-THYpM11I?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Dimyati,,,Bakso restaurant,"GM77+3FX, Kp. Ciahreuday, Neglasari, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.4872578, 107.6637293",https://www.google.com/maps/place/Dimyati/data=!4m7!3m6!1s0x2e6621f95e8c1831:0xa6b063c18bebc0b!8m2!3d-7.4872578!4d107.6637293!16s%2Fg%2F11t3_6ns5w!19sChIJMRiMXvkhZi4RC7y-GDwGawo?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Mie Bakso Sapi Asli 2 Putra Cihurip,,,Bakso restaurant,"44173, Cihurip, Kec. Cihurip, Kabupaten Garut, Jawa Barat 44173 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.4916168, 107.8600067",https://www.google.com/maps/place/Mie+Bakso+Sapi+Asli+2+Putra+Cihurip/data=!4m7!3m6!1s0x2e6603e96c9d56e7:0x87fb2791b0614037!8m2!3d-7.4916168!4d107.8600067!16s%2Fg%2F11syw_pbtg!19sChIJ51adbOkDZi4RN0BhsJEn-4c?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Warung Ibu Juju,,,Tegal restaurant,"CV68+7PM, Cikondang, Cisompet, Garut Regency, West Java ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-7.5892891, 107.8667941",https://www.google.com/maps/place/Warung+Ibu+Juju/data=!4m7!3m6!1s0x2e660f279be44f47:0x43d94a387e30ed4f!8m2!3d-7.5892891!4d107.8667941!16s%2Fg%2F11t7jyfpbg!19sChIJR0_kmycPZi4RT-0wfjhK2UM?authuser=0&hl=en&rclk=1,, Garut ,,,,,,,,,,,
Warung Seblak Cecep Budiman,5.0,2 reviews,Seblak restaurant,"GR2R+2H5, cijagra, Mekarwangi, Kec. Cihurip, Kabupaten Garut, Jawa Barat 44173 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,Groups,Cash only,"-7.4999929, 107.8414787",https://www.google.com/maps/place/Warung+Seblak+Cecep+Budiman/data=!4m7!3m6!1s0x2e661bba57183bc1:0xd5ca16a9828c1ecf!8m2!3d-7.4999929!4d107.8414787!16s%2Fg%2F11ffvv9ywr!19sChIJwTsYV7obZi4Rzx6MgqkWytU?authuser=0&hl=en&rclk=1,,  Garut,,,,,,,,,,,
Fastfood Restaurant,,,Restaurant,"947F+CJ9, Jl. Raya Karangnunggal, Karangmekar, Karangnunggal, Tasikmalaya, Jawa Barat 46186 ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.6364537, 108.1241192",https://www.google.com/maps/place/Fastfood+Restaurant/data=!4m7!3m6!1s0x2e65e3ebe3b0a0ef:0x61225d8db0518e55!8m2!3d-7.6364537!4d108.1241192!16s%2Fg%2F11fqllksbh!19sChIJ76Cw4-vjZS4RVY5RsI1dImE?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Warung Sauyunan,,,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6233877, 108.1380267",https://www.google.com/maps/place/Warung+Sauyunan/data=!4m7!3m6!1s0x2e65e3892474a725:0x4962f16ec619d349!8m2!3d-7.6233877!4d108.1380267!16s%2Fg%2F11qg28_0z1!19sChIJJad0JInjZS4RSdMZxm7xYkk?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Dimsum & Sate Suki Seafood,,,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,,"-7.6275749, 108.1453423",https://www.google.com/maps/place/Dimsum+%26+Sate+Suki+Seafood/data=!4m7!3m6!1s0x2e65e475a93a10a9:0x74474b630b7430f3!8m2!3d-7.6275749!4d108.1453423!16s%2Fg%2F11p65r3c3t!19sChIJqRA6qXXkZS4R8zB0C2NLR3Q?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Nyi Iceung,,,Restaurant,"Simpang, Bantarkalong, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6271581, 108.1097849",https://www.google.com/maps/place/Warung+Nyi+Iceung/data=!4m7!3m6!1s0x2e65e3b9843d3aab:0x61e77e506dbc0e55!8m2!3d-7.6271581!4d108.1097849!16s%2Fg%2F11rd9fgrrq!19sChIJqzo9hLnjZS4RVQ68bVB-52E?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Waroeng Ponyo,,,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6270436, 108.1456313",https://www.google.com/maps/place/Waroeng+Ponyo/data=!4m7!3m6!1s0x2e65e475b2545af1:0xc2a694b1dcfd3cae!8m2!3d-7.6270436!4d108.1456313!16s%2Fg%2F11jwsb359n!19sChIJ8VpUsnXkZS4Rrjz93LGUpsI?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Chicken alzetos,3.5,2 reviews,Restaurant,"Tk Reni, 500m dari pertigaan pangkalan ojek sindangreret, Kp. Cikeruh Mekarsari, RT.006 rw001, Cikupa, Kec. Karangnunggal, Kabupaten Tasikmalaya, Jawa Barat 46186 ",,,Outdoor seating | Kerbside pickup | No-contact delivery | Delivery | Drive-through | Takeaway | Dine-in,All you can eat | Coffee | Halal food | Happy-hour food | Kids' menu | Late-night food | Organic dishes,Breakfast | Brunch | Lunch | Dinner | Catering | Counter service | Dessert | Seating,Good for kids | High chairs | Toilets | Paid Wi-Fi,Casual | Cosy,Family friendly | Groups,Cash only | Meal coupons | NFC mobile payments,"-7.6388004, 108.1199047",https://www.google.com/maps/place/Chicken+alzetos/data=!4m7!3m6!1s0x2e65e340d0447427:0xfcd9a1ae1fa49dd7!8m2!3d-7.6388004!4d108.1199047!16s%2Fg%2F11kg3kdp4n!19sChIJJ3RE0EDjZS4R152kH66h2fw?authuser=0&hl=en&rclk=1,Assistive hearing loop | Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating | Wheelchair-accessible toilet,  Tasikmalaya,,http://indravf.websites.co.in/,Reservations required | Accepts reservations,,,,Identifies as women-owned,,,,
Warung Nasi Bu Adah,,,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-7.624281, 108.1395342",https://www.google.com/maps/place/Warung+Nasi+Bu+Adah/data=!4m7!3m6!1s0x2e65e38974a085ef:0x2382c42e062a37c1!8m2!3d-7.624281!4d108.1395342!16s%2Fg%2F11sh22rk7g!19sChIJ74WgdInjZS4RwTcqBi7EgiM?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Lafasa,,,Restaurant,"9498+CMW, Jalan Raya, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6313951, 108.1166929",https://www.google.com/maps/place/Warung+Lafasa/data=!4m7!3m6!1s0x2e65e3bf86836d8b:0x3779299f4e878461!8m2!3d-7.6313951!4d108.1166929!16s%2Fg%2F11h98hn8rx!19sChIJi22Dhr_jZS4RYYSHTp8peTc?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
DAPUR MBAK,5.0,2 reviews,Restaurant,"9499+24H, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",phone:tel:082215155858,,Delivery | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6324287, 108.1178671",https://www.google.com/maps/place/DAPUR+MBAK/data=!4m7!3m6!1s0x2e65e3bd243b40bf:0x2d3988c380f238a0!8m2!3d-7.6324287!4d108.1178671!16s%2Fg%2F11h4gc3pkg!19sChIJv0A7JL3jZS4RoDjygMOIOS0?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Barokah,,,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Cosy,Groups,Cash only,"-7.6290104, 108.1440181",https://www.google.com/maps/place/Warung+Barokah/data=!4m7!3m6!1s0x2e65e4756bd06db9:0x3e41a9bd3397d031!8m2!3d-7.6290104!4d108.1440181!16s%2Fg%2F11fswkhczk!19sChIJuW3Qa3XkZS4RMdCXM72pQT4?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Pimpom Food,5.0,3 reviews,Brunch restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",phone:tel:085320388768, Closed,Outdoor seating | Kerbside pickup | No-contact delivery | Delivery | Drive-through | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dessert,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6226341, 108.1398996",https://www.google.com/maps/place/Pimpom+Food/data=!4m7!3m6!1s0x2e65e36c131204c3:0x284061a1a948c020!8m2!3d-7.6226341!4d108.1398996!16s%2Fg%2F11n7rvvtvl!19sChIJwwQSE2zjZS4RIMBIqaFhQCg?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Rest Area Curug Angkrek,,,Restaurant,"85H6+836, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",phone:tel:085353733711, Open 24 hours,Takeaway | Dine-in,Coffee | Halal food,,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.6717156, 108.1601533",https://www.google.com/maps/place/Rest+Area+Curug+Angkrek/data=!4m7!3m6!1s0x2e65e7e0bb87d9fd:0xd7131ec7059afc8d!8m2!3d-7.6717156!4d108.1601533!16s%2Fg%2F11fw99zt_s!19sChIJ_dmHu-DnZS4RjfyaBcceE9c?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Nasi Sawargi,,,Restaurant,"947C+VM5, Cikupa, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.635365, 108.1217273",https://www.google.com/maps/place/Warung+Nasi+Sawargi/data=!4m7!3m6!1s0x2e65e3ea49ee3091:0xc9bf5caa8d8f9bed!8m2!3d-7.635365!4d108.1217273!16s%2Fg%2F11p65r23jb!19sChIJkTDuSerjZS4R7ZuPjapcv8k?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Ibu Nur Rancabakung,5.0,1 review,Restaurant,"94GQ+MQV, Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",phone:tel:082216587049, 6:30AM to 8PM,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6232539, 108.1394173",https://www.google.com/maps/place/Warung+Ibu+Nur+Rancabakung/data=!4m7!3m6!1s0x2e65e588ad8d72e5:0x9d68eb23ce47a66c!8m2!3d-7.6232539!4d108.1394173!16s%2Fg%2F11jpmhnfl1!19sChIJ5XKNrYjlZS4RbKZHziPraJ0?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Nik,,,Restaurant,"94FM+5VM, Jalan Raya, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.627031, 108.1346731",https://www.google.com/maps/place/Warung+Nik/data=!4m7!3m6!1s0x2e65e38c48033e75:0xe48b7230bb53423b!8m2!3d-7.627031!4d108.1346731!16s%2Fg%2F11k5t63l70!19sChIJdT4DSIzjZS4RO0JTuzByi-Q?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Warung Makan,,,Restaurant,"94HR+G2X, Unnamed Road, Karangmekar, Kec. Karangnunggal, Kabupaten Tasikmalaya, Jawa Barat 46186 ",, 8AM to 5PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6211445, 108.1401035",https://www.google.com/maps/place/Warung+Makan/data=!4m7!3m6!1s0x2e65e315ad65d997:0x231e6d55e249e277!8m2!3d-7.6211445!4d108.1401035!16s%2Fg%2F11kykwt5y6!19sChIJl9llrRXjZS4Rd-JJ4lVtHiM?authuser=0&hl=en&rclk=1,,  Tasikmalaya,,,,,,,,,,,
SIOMAY AYAM,5.0,1 review,Restaurant,"94FP+RRM, Jalan Raya, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.62542, 108.1370386",https://www.google.com/maps/place/SIOMAY+AYAM/data=!4m7!3m6!1s0x2e65e3ad65d6dee7:0x92885661555bfbf7!8m2!3d-7.62542!4d108.1370386!16s%2Fg%2F11h8br7kz7!19sChIJ597WZa3jZS4R9_tbVWFWiJI?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Mie Bakso Solo Goyang Lidah,,,Restaurant,"Karangnunggal, Tasikmalaya Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6287542, 108.1338428",https://www.google.com/maps/place/Mie+Bakso+Solo+Goyang+Lidah/data=!4m7!3m6!1s0x2e65e38d023f0e61:0x37bf44d0d0ebb8e5!8m2!3d-7.6287542!4d108.1338428!16s%2Fg%2F11fr3xsbgn!19sChIJYQ4_Ao3jZS4R5bjr0NBEvzc?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Rumah Makan Sarasa,,,Restaurant,"9497+GFW, Jl. Raya Karangnunggal, RT.01/RW.07, Karangnunggal, Kec. Karangnunggal, Kabupaten Tasikmalaya, Jawa Barat 46186 ",phone:tel:081323300585, 7:30AM to 10PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.6311415, 108.1137003",https://www.google.com/maps/place/Rumah+Makan+Sarasa/data=!4m7!3m6!1s0x2e65e3df4524b6b7:0x4fe2b501dd621cbf!8m2!3d-7.6311415!4d108.1137003!16s%2Fg%2F11mr2ckzss!19sChIJt7YkRd_jZS4Rvxxi3QG14k8?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating,  Tasikmalaya,,,,,,,,,,,
Dapoer zahra,5.0,5 reviews,Restaurant,"948M+49R, Kampung rahayu, Kec. Karangnunggal, Kabupaten Tasikmalaya, Jawa Barat 46186 ",phone:tel:085862788995, 9AM to 5PM,Delivery | Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,,"-7.634644, 108.1333757",https://www.google.com/maps/place/Dapoer+zahra/data=!4m7!3m6!1s0x2e65e3de6a71e411:0xf47e99961d177303!8m2!3d-7.634644!4d108.1333757!16s%2Fg%2F11j1cyv1ky!19sChIJEeRxat7jZS4RA3MXHZaZfvQ?authuser=0&hl=en&rclk=1,,  Tasikmalaya,,,,,,,,,,,
Warung Timbel Ibu Imok,4.0,2 reviews,Restaurant,"94GQ+J52, Unnamed Road, Karangmekar, Kec. Karangnunggal, Kabupaten Tasikmalaya, Jawa Barat 46186 ",phone:tel:085223772919, 6AM to 6PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Cosy,Groups,Cash only,"-7.6234938, 108.1379019",https://www.google.com/maps/place/Warung+Timbel+Ibu+Imok/data=!4m7!3m6!1s0x2e65e38924fe2be9:0xcf59378eccb364ec!8m2!3d-7.6234938!4d108.1379019!16s%2Fg%2F11f578xdjg!19sChIJ6Sv-JInjZS4R7GSzzI43Wc8?authuser=0&hl=en&rclk=1,,  Tasikmalaya,,,,,,,,,,,
T'o aulia,5.0,1 review,Restaurant,"Karangmekar, Karangnunggal, Tasikmalaya Regency, West Java ",phone:tel:085312089007, 6:30AM to 8PM,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-7.6235459, 108.139293",https://www.google.com/maps/place/T'o+aulia/data=!4m7!3m6!1s0x2e65e3890564e939:0xb7395c3166110fce!8m2!3d-7.6235459!4d108.139293!16s%2Fg%2F11jk6jwtmq!19sChIJOelkBYnjZS4Rzg8RZjFcObc?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
Ym,,,Restaurant,"947F+FVR, Jalan Raya, Karangnunggal, Tasikmalaya Regency, West Java 46186 ",, Closed,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,Groups,Cash only,"-7.6362516, 108.1246325",https://www.google.com/maps/place/Ym/data=!4m7!3m6!1s0x2e65e3ebfc0c407b:0x2db87cfb7218352e!8m2!3d-7.6362516!4d108.1246325!16s%2Fg%2F11kmn5z68r!19sChIJe0AM_OvjZS4RLjUYcvt8uC0?authuser=0&hl=en&rclk=1,, Tasikmalaya ,,,,,,,,,,,
