title,review_point,review_total,contact_number,open_hours,metadata,coordinate,link,sub_category,address,site,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,regency,Accessibility,Planning,price_level,short_description,Highlights,check_in,From the business,check_out,amenities
Warung Nasi Ibu Ai,4.5,2 reviews,,,,"-6.8857564, 106.9401841",https://www.google.com/maps/place/Warung+Nasi+Ibu+Ai/data=!4m7!3m6!1s0x2e6849938b671e6d:0xadbd2f5474cc6fa9!8m2!3d-6.8857564!4d106.9401841!16s%2Fg%2F11j7xbp0gc!19sChIJbR5ni5NJaC4RqW_MdFQvva0?authuser=0&hl=en&rclk=1,Nasi restaurant,"Karawang, Sukabumi, Sukabumi Regency, West Java ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only, Sukabumi ,,,,,,,,,
Waroeng Nasi Raos,,,phone:tel:085659503302, 6AM to 7PM,,"-6.8806077, 106.9472202",https://www.google.com/maps/place/Waroeng+Nasi+Raos/data=!4m7!3m6!1s0x2e6849c342cd7e91:0x1af5266e18e52ca4!8m2!3d-6.8806077!4d106.9472202!16s%2Fg%2F11s1xwvw0h!19sChIJkX7NQsNJaC4RpCzlGG4m9Ro?authuser=0&hl=en&rclk=1,Brunch restaurant,"Selabintana St, Perbawati, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Vegetarian options,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Ayam Goreng Mami Anes,5,1 review,phone:tel:08560481955, 2 to 10PM,,"-6.8803169, 106.9472659",https://www.google.com/maps/place/Ayam+Goreng+Mami+Anes/data=!4m7!3m6!1s0x2e6849e484abe0f9:0x45d25ba430e91db8!8m2!3d-6.8803169!4d106.9472659!16s%2Fg%2F11ny42zr83!19sChIJ-eCrhORJaC4RuB3pMKRb0kU?authuser=0&hl=en&rclk=1,Nasi restaurant,"Jalan Selabintana Km6 kp Nyangkokot Kp.Nyangkokot, Karawang, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43151 ",https://ayam-goreng-mami-anes.business.site/?utm_source=gmb&utm_medium=referral,Kerbside pickup | Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,,  Sukabumi,,,,,,,,,
Warung Bakso Bengawan Solo,4.4,198 reviews,phone:tel:081572530008, 8AM to 6PM,,"-6.8908491, 106.9397037",https://www.google.com/maps/place/Warung+Bakso+Bengawan+Solo/data=!4m7!3m6!1s0x2e6849958ed7f943:0x28c4ffb972b93ab7!8m2!3d-6.8908491!4d106.9397037!16s%2Fg%2F11c32b603z!19sChIJQ_nXjpVJaC4Rtzq5crn_xCg?authuser=0&hl=en&rclk=1,Bakso restaurant,"Selabintana St No.KM. 4, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Delivery | Takeaway | Dine-in,Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only, Sukabumi ,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,$,,,,,,
Warung SEBLAK NR,,,,,,"-6.8783446, 106.9451005",https://www.google.com/maps/place/Warung+SEBLAK+NR/data=!4m7!3m6!1s0x2e6849c3d5c86541:0xde55cc45f9ca606f!8m2!3d-6.8783446!4d106.9451005!16s%2Fg%2F11t1t1f1xg!19sChIJQWXI1cNJaC4Rb2DK-UXMVd4?authuser=0&hl=en&rclk=1,Brunch restaurant,"4WCW+M52, Karawang, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Sate Kambing Bunda Farel,4.7,3 reviews,phone:tel:085603676096, 11AM to 10:30PM,,"-6.8920863, 106.9387659",https://www.google.com/maps/place/Sate+Kambing+Bunda+Farel/data=!4m7!3m6!1s0x2e6849bba94dc1e3:0xf7413d37a3894091!8m2!3d-6.8920863!4d106.9387659!16s%2Fg%2F11h3mvy2qd!19sChIJ48FNqbtJaC4RkUCJozc9Qfc?authuser=0&hl=en&rclk=1,Satay restaurant,"4W5Q+5G6, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
LESEHAN SATE KAMBING BUMBU JAMPANG,4.6,165 reviews,phone:tel:085603676096, 10:30AM to 10PM,,"-6.8920447, 106.9388162",https://www.google.com/maps/place/LESEHAN+SATE+KAMBING+BUMBU+JAMPANG/data=!4m7!3m6!1s0x2e6849bfcd284d7b:0xb691209348b2993f!8m2!3d-6.8920447!4d106.9388162!16s%2Fg%2F11hb20s893!19sChIJe00ozb9JaC4RP5mySJMgkbY?authuser=0&hl=en&rclk=1,Satay restaurant,"Selabintana St, Warnasari, Sukabumi, Sukabumi City, West Java 43151 ",,No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food | Vegan options,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only, Sukabumi ,Wheelchair-accessible seating,Accepts reservations,$,,,,,,
Ayam Bakar Salabintana,,,,,,"-6.886034, 106.9434132",https://www.google.com/maps/place/Ayam+Bakar+Salabintana/data=!4m7!3m6!1s0x2e684996cae4a301:0x5965727c265c84de!8m2!3d-6.886034!4d106.9434132!16s%2Fg%2F11j30yq2j_!19sChIJAaPkypZJaC4R3oRcJnxyZVk?authuser=0&hl=en&rclk=1,Chicken restaurant,"4W7V+H9M, Selabintana St, Karawang, Sukabumi, Sukabumi Regency, West Java 43151 ",,Delivery | Takeaway | Dine-in,Halal food,Lunch | Dinner,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Pawon_ngonah,,,phone:tel:081310979693, 4 to 10PM,,"-6.8875368, 106.9373264",https://www.google.com/maps/place/Pawon_ngonah/data=!4m7!3m6!1s0x2e6849e47c351bf5:0x503c437db5ed288e!8m2!3d-6.8875368!4d106.9373264!16s%2Fg%2F11s9gstpfp!19sChIJ9Rs1fORJaC4RjijttX1DPFA?authuser=0&hl=en&rclk=1,Indonesian restaurant,"4W6P+XWP, Karawang, Sukabumi, Sukabumi Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,, Sukabumi ,,,,,,,,,
Sate ayam dan kambing toat agung,,,phone:tel:085711295321, 4AM to 11PM,,"-6.8796271, 106.9472379",https://www.google.com/maps/place/Sate+ayam+dan+kambing+toat+agung/data=!4m7!3m6!1s0x2e6849d734b36e11:0x71785834a74f976!8m2!3d-6.8796271!4d106.9472379!16s%2Fg%2F11snmbgb_t!19sChIJEW6zNNdJaC4Rdvl0SoOFFwc?authuser=0&hl=en&rclk=1,Western restaurant,"Selabintana St No.432, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Delivery | Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
RM Godong Kemangi,4.7,7 reviews,phone:tel:081385805152, Closed,,"-6.8700136, 106.9448737",https://www.google.com/maps/place/RM+Godong+Kemangi/data=!4m7!3m6!1s0x2e684a2781793b3d:0x7b1d8803e731095c!8m2!3d-6.8700136!4d106.9448737!16s%2Fg%2F11dzdcjb5j!19sChIJPTt5gSdKaC4RXAkx5wOIHXs?authuser=0&hl=en&rclk=1,Padang restaurant,"4WHV+XWX, Perbawati, Sukabumi, Sukabumi Regency, West Java 43151 ",,,,,,,,, Sukabumi ,,,$,,,,,,
Warung inez,5,1 review,, Closed,,"-6.8932407, 106.9395866",https://www.google.com/maps/place/Warung+inez/data=!4m7!3m6!1s0x2e68491283bb99d3:0xcee54887c66896e!8m2!3d-6.8932407!4d106.9395866!16s%2Fg%2F11pkkh56zy!19sChIJ05m7gxJJaC4RbolmfIhU7gw?authuser=0&hl=en&rclk=1,Nasi restaurant,"Selabintana St selaawi No.kp, RT.18/RW.4, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Baso M. Ujang,3.8,19 reviews,phone:tel:085603001844, 10AM to 6PM,,"-6.8792227, 106.9337348",https://www.google.com/maps/place/Baso+M.+Ujang/data=!4m7!3m6!1s0x2e6849f2efee6a87:0x4727648a87a9c62c!8m2!3d-6.8792227!4d106.9337348!16s%2Fg%2F11gfb4d774!19sChIJh2ru7_JJaC4RLMaph4pkJ0c?authuser=0&hl=en&rclk=1,Bakso restaurant,"kp. karawang kulon Rt. 03/07, Karawang, Sukabumi, Karawang Regency, West Java 41316 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Karawang ,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,
Warung Teh Nur,,,, 6 to 8AM,,"-6.8709723, 106.9463574",https://www.google.com/maps/place/Warung+Teh+Nur/data=!4m7!3m6!1s0x2e6849c526592bd3:0xde20a2252adba37b!8m2!3d-6.8709723!4d106.9463574!16s%2Fg%2F11tjcdss2_!19sChIJ0ytZJsVJaC4Re6PbKiWiIN4?authuser=0&hl=en&rclk=1,Breakfast restaurant,"Jl. Pd. Halimun No.36, RT.01/RW.01, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",,Takeaway | Dine-in,Halal food,Breakfast,Good for kids,Casual | Cosy,Groups,,  Sukabumi,,,,,,,,,
Bakso Solo Sabhira,4.9,9 reviews,phone:tel:08161967962, 11AM to 8AM,,"-6.8718451, 106.9451782",https://www.google.com/maps/place/Bakso+Solo+Sabhira/data=!4m7!3m6!1s0x2e6849d328bcd865:0x4826ee1e5d7c3957!8m2!3d-6.8718451!4d106.9451782!16s%2Fg%2F11lm7lknzf!19sChIJZdi8KNNJaC4RVzl8XR7uJkg?authuser=0&hl=en&rclk=1,Indonesian restaurant,"Perbawati, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
"Bubur ayam sinar barokah ""alm"" mang apud",4.9,15 reviews,phone:tel:085603016082, Open 24 hours,,"-6.870424, 106.9450956",https://www.google.com/maps/place/Bubur+ayam+sinar+barokah+%22alm%22+mang+apud/data=!4m7!3m6!1s0x2e684b5ca682190f:0x193949b6d401f8de!8m2!3d-6.870424!4d106.9450956!16s%2Fg%2F11h8fbw60g!19sChIJDxmCplxLaC4R3vgB1LZJORk?authuser=0&hl=en&rclk=1,Porridge restaurant,"Nagrog Jl. Pd. Halimun, Perbawati, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",https://bubur-ayam-sinar-barokah-alm-mang-apud.business.site/?utm_source=gmb&utm_medium=referral,Outdoor seating | Delivery | Takeaway | Dine-in,Halal food | Kids' menu,Breakfast | Seating,Good for kids,Casual | Cosy,Groups,Cash only | NFC mobile payments,  Sukabumi,Wheelchair-accessible seating,,,,,,,,
Warung seblak pempek dan cireng,,,phone:tel:085624885364, 8AM to 8PM,,"-6.879165, 106.9471767",https://www.google.com/maps/place/Warung+seblak+pempek+dan+cireng/data=!4m7!3m6!1s0x2e6849341555938d:0xca58aea707fcfb0a!8m2!3d-6.879165!4d106.9471767!16s%2Fg%2F11p0f5p2sf!19sChIJjZNVFTRJaC4RCvv8B6euWMo?authuser=0&hl=en&rclk=1,Fast food restaurant,"4WCW+8VM, Kp nyangkokot, RT.1/RW.1, Sudajaya Girang, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual,Groups,Cash only,  Sukabumi,,,,,,,,,
Bakso & Mie Ayam Bi Wati,5,5 reviews,phone:tel:085871409334, 10AM to 5AM,,"-6.8681923, 106.9474147",https://www.google.com/maps/place/Bakso+%26+Mie+Ayam+Bi+Wati/data=!4m7!3m6!1s0x2e684b7c5b595655:0x65900b02f4a36feb!8m2!3d-6.8681923!4d106.9474147!16s%2Fg%2F11s0z12b90!19sChIJVVZZW3xLaC4R62-j9AILkGU?authuser=0&hl=en&rclk=1,Indonesian restaurant,"4WJW+PXF, Kp, Jl. Pd. Halimun, RT.01/RW.03, Perbawati ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,,,,,,,,,,
Fast Food Restaurant,,,,,,"-6.9160443, 106.9074307",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e6837d46418a933:0x20151697a86a1bc8!8m2!3d-6.9160443!4d106.9074307!16s%2Fg%2F11rd9f8htl!19sChIJM6kYZNQ3aC4RyBtqqJcWFSA?authuser=0&hl=en&rclk=1,Restaurant,"Central Karang, Gunungpuyuh, Sukabumi City, West Java ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Cosy,,, Sukabumi ,,,,,,,,,
Seblak vulcano,5,4 reviews,phone:tel:085520777808, 10AM to 9PM,,"-6.8919333, 106.9390943",https://www.google.com/maps/place/Seblak+vulcano/data=!4m7!3m6!1s0x2e68496dc87d8fbb:0xf0d4cdf71977b250!8m2!3d-6.8919333!4d106.9390943!16s%2Fg%2F11lt0x9zm_!19sChIJu499yG1JaC4RULJ3GffN1PA?authuser=0&hl=en&rclk=1,Brunch restaurant,"Selabintana St No.198, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Delivery | Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
BUBUR AYAM JORDAN,5,1 review,phone:tel:08562067844, 6 to 10AM,,"-6.8883648, 106.9410733",https://www.google.com/maps/place/BUBUR+AYAM+JORDAN/data=!4m7!3m6!1s0x2e684927020534a9:0xc64fdbce1ab5f9ff!8m2!3d-6.8883648!4d106.9410733!16s%2Fg%2F11h4nczphl!19sChIJqTQFAidJaC4R__m1Gs7bT8Y?authuser=0&hl=en&rclk=1,Porridge restaurant,"Jl. Selabintana. Kp, Jl. Karawang Kulon No.Rt 21 / 05, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",,Delivery | Takeaway | Dine-in,Halal food | Kids' menu,Breakfast,Good for kids,Casual | Cosy,,Cash only,  Sukabumi,,,,,,,,,
Ciwangi Restaurant,4.4,639 reviews,phone:tel:0266221555,"Friday, 8AM to 2PM, 5 to 8PM; Saturday, 8AM to 2PM, 5 to 8PM; Sunday, 8AM to 2PM, 5 to 8PM; Monday, 8AM to 2PM, 5 to 8PM; Tuesday, 8AM to 2PM, 5 to 8PM; Wednesday, 8AM to 2PM, 5 to 8PM; Thursday, 8AM to 2PM, 5 to 8PM. ",,"-6.9178805, 106.9301822",https://www.google.com/maps/place/Ciwangi+Restaurant/data=!4m7!3m6!1s0x2e684830ed671395:0x4efe349a068ea6be!8m2!3d-6.9178805!4d106.9301822!16s%2Fg%2F1hc3d22vd!19sChIJlRNn7TBIaC4RvqaOBpo0_k4?authuser=0&hl=en&rclk=1,Chinese restaurant,"Jl. Syamsudin. SH SH No.10, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Breakfast | Brunch | Lunch | Dinner | Catering | Dessert,Gender-neutral toilets | Good for kids | Toilets,Casual | Cosy,Groups,Debit cards,  Sukabumi,Wheelchair-accessible car park | Wheelchair-accessible seating,Accepts reservations,$$,,,,,,
Bakso Malang Mutiara,4.6,9 reviews,phone:tel:085794174721, 11AM to 8PM,,"-6.8786981, 106.9460054",https://www.google.com/maps/place/Bakso+Malang+Mutiara/data=!4m7!3m6!1s0x2e6849cfac7a5709:0x78c9eaf36828e9fd!8m2!3d-6.8786981!4d106.9460054!16s%2Fg%2F11mvw6sstp!19sChIJCVd6rM9JaC4R_ekoaPPqyXg?authuser=0&hl=en&rclk=1,Bakso restaurant,"Jln.Warnasari, Kp.Nyangkokot Rt03/Rw11, Jl. Selabintana, Karawang, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Sukabumi,,,,,,,,,
Rumah Makan Jam Gadang Selabintana Sukabumi,4.5,180 reviews,phone:tel:085798555808, 9AM to 9PM,,"-6.8971366, 106.9386369",https://www.google.com/maps/place/Rumah+Makan+Jam+Gadang+Selabintana+Sukabumi/data=!4m7!3m6!1s0x2e6849b8d8491e97:0x8a3760e9226bff67!8m2!3d-6.8971366!4d106.9386369!16s%2Fg%2F11g86yl17p!19sChIJlx5J2LhJaC4RZ_9rIulgN4o?authuser=0&hl=en&rclk=1,Diner,"Jl. Selabintana No.132, RT.012/RW.003, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",http://instagram.com/rm.jamgadang,Kerbside pickup | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food,Breakfast | Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Family friendly | Groups,Cash only,  Sukabumi,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,Accepts reservations,,,,,,,
Warung D'mentok,,,,,,"-6.8702344, 106.950876",https://www.google.com/maps/place/Warung+D'mentok/data=!4m7!3m6!1s0x2e6849ba29a77201:0xd02ec074d4c6d51f!8m2!3d-6.8702344!4d106.950876!16s%2Fg%2F11t4bb6s5m!19sChIJAXKnKbpJaC4RH9XG1HTALtA?authuser=0&hl=en&rclk=1,Breakfast restaurant,"Selabintana St No.km.7, Sudajaya Girang, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,Breakfast,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Kedai Seuhah Ibu Sri,,,phone:tel:081381617410, 8AM to 8PM,,"-6.8714408, 106.9483651",https://www.google.com/maps/place/Kedai+Seuhah+Ibu+Sri/data=!4m7!3m6!1s0x2e684966e3a8ea7b:0x7459344ae811505c!8m2!3d-6.8714408!4d106.9483651!16s%2Fg%2F11s___d3rc!19sChIJe-qo42ZJaC4RXFAR6Eo0WXQ?authuser=0&hl=en&rclk=1,Seblak restaurant,"Jl. Perbawati, Perbawati, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",,Delivery | Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,  Sukabumi,,,,,,,,,
Mie Ayam & Baso Dadang,5,1 review,, 9AM to 5PM,,"-6.8905163, 106.9224877",https://www.google.com/maps/place/Mie+Ayam+%26+Baso+Dadang/data=!4m7!3m6!1s0x2e684948bcb296a5:0x50146361ffd1b91e!8m2!3d-6.8905163!4d106.9224877!16s%2Fg%2F11h3vg94jn!19sChIJpZayvEhJaC4RHrnR_2FjFFA?authuser=0&hl=en&rclk=1,Restaurant,"4W5C+QXX, Bojong Duren, RT.01/RW.02, Parungseah, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Flo's Burger,4.8,169 reviews,phone:tel:0895395254174, 11AM to 11PM,,"-6.9034188, 106.9362744",https://www.google.com/maps/place/Flo's+Burger/data=!4m7!3m6!1s0x2e6849979d7e5ee7:0x664ca084e8c1401b!8m2!3d-6.9034188!4d106.9362744!16s%2Fg%2F11h4g86t6h!19sChIJ515-nZdJaC4RG0DB6ISgTGY?authuser=0&hl=en&rclk=1,Hamburger restaurant,"Jl. Kapten Asmud Lubis No.57, RW.1, Warnasari, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43115 ",https://www.instagram.com/flosburgersukabumi?r=nametag,,,,,,,,  Sukabumi,,,,,,,,,
Martabak bangka abang den,4.5,2 reviews,phone:tel:081280373440, 3PM to 12AM,,"-6.8898977, 106.9401676",https://www.google.com/maps/place/Martabak+bangka+abang+den/data=!4m7!3m6!1s0x2e68495a48171877:0xa04297923a27c227!8m2!3d-6.8898977!4d106.9401676!16s%2Fg%2F11q952y4s5!19sChIJdxgXSFpJaC4RJ8InOpKXQqA?authuser=0&hl=en&rclk=1,Murtabak restaurant,"Gg. Diran, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151 ",,Kerbside pickup | Delivery | Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,  Sukabumi,,Reservations required | Accepts reservations,,,,,,,
Seblak & Mie Goreng Billah,5,1 review,phone:tel:081385675550, 10AM to 8PM,,"-6.8969529, 106.9387547",https://www.google.com/maps/place/Seblak+%26+Mie+Goreng+Billah/data=!4m7!3m6!1s0x2e6849ff0ff6f573:0x3311d420d76384cc!8m2!3d-6.8969529!4d106.9387547!16s%2Fg%2F11j1sjvscf!19sChIJc_X2D_9JaC4RzIRj1yDUETM?authuser=0&hl=en&rclk=1,Restaurant,"Selabintana St No.136, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Warung Bebek Jontor,4.5,"1,228 reviews",phone:tel:02666250093, 10AM to 10PM,,"-6.8958944, 106.9386603",https://www.google.com/maps/place/Warung+Bebek+Jontor/data=!4m7!3m6!1s0x2e6849b8e35f7cc3:0x818217ec59328bc5!8m2!3d-6.8958944!4d106.9386603!16s%2Fg%2F1pzt9vdj2!19sChIJw3xf47hJaC4RxYsyWewXgoE?authuser=0&hl=en&rclk=1,Fast food restaurant,"5, Selabintana St No.KM, RW.2, Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",http://www.bebekjontor.com/,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Vegan options,Lunch | Dinner | Catering | Dessert | Seating,Good for kids | Toilets,Casual,Family friendly | Groups,Cash only, Sukabumi ,Wheelchair-accessible car park | Wheelchair-accessible entrance,,$,,,,,,
WARUNG LOTEK TEH RINA,5,1 review,phone:tel:085723245355, 8AM to 4PM,,"-6.8819244, 106.9520536",https://www.google.com/maps/place/WARUNG+LOTEK+TEH+RINA/data=!4m7!3m6!1s0x2e68370d1dc1a5e3:0xc8c7dd0876585bbf!8m2!3d-6.8819244!4d106.9520536!16s%2Fg%2F11smy8d2rg!19sChIJ46XBHQ03aC4Rv1tYdgjdx8g?authuser=0&hl=en&rclk=1,Vegetarian restaurant,"Palasari Perumahan Bumi, Jl. Selabintana No.08, Jawa Barat 43151 ",,Kerbside pickup | No-contact delivery | Delivery | Takeaway | Dine-in,Halal food | Vegetarian options,,Good for kids,Casual | Cosy,Groups,Cash only,,,,,,,,,,
ODC Restaurant,4.5,650 reviews,phone:tel:081210398380, 9AM to 9PM,,"-6.9213192, 106.9358325",https://www.google.com/maps/place/ODC+Restaurant/data=!4m7!3m6!1s0x2e6848481ef84e27:0xbd2c76d4b9ff5841!8m2!3d-6.9213192!4d106.9358325!16s%2Fg%2F11b_03bh33!19sChIJJ074HkhIaC4RQVj_udR2LL0?authuser=0&hl=en&rclk=1,Steak house,"Jl. Siliwangi No.30, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112 ",https://odc-restaurant.business.site/,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Breakfast | Brunch | Lunch | Dinner | Catering | Dessert | Seating,Good for kids | Toilets | Free Wi-Fi,Casual | Cosy,Family friendly | Groups,Debit cards | Credit cards,  Sukabumi,Wheelchair-accessible car park | Wheelchair-accessible seating,Accepts reservations,$$,,,,,,
Warung Den faiz,,,phone:tel:085659470802,,,"-6.8710025, 106.9248247",https://www.google.com/maps/place/Warung+Den+faiz/data=!4m7!3m6!1s0x2e684bdb2d295b49:0x497d45aa5965cb25!8m2!3d-6.8710025!4d106.9248247!16s%2Fg%2F11sqrwljmh!19sChIJSVspLdtLaC4RJctlWapFfUk?authuser=0&hl=en&rclk=1,Seblak restaurant,"4WHF+HWW, Jl. Cipetir-Lebak Siuh, Cipetir, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Sukabumi,,,,,,,,,
Mie Bakso Dan Mie Ayam Idola,4,1 review,,,,"-6.8967652, 106.9243644",https://www.google.com/maps/place/Mie+Bakso+Dan+Mie+Ayam+Idola/data=!4m7!3m6!1s0x2e6849c354310d2f:0xcf1abe4a37cc3a3b!8m2!3d-6.8967652!4d106.9243644!16s%2Fg%2F11n__5zlgz!19sChIJLw0xVMNJaC4ROzrMN0q-Gs8?authuser=0&hl=en&rclk=1,Restaurant,"Parungseah, Sukabumi, Sukabumi Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,,,,,,,,,
Bakso Selaawi,4.7,18 reviews,phone:tel:085862927062, 9:30AM to 9PM,,"-6.8940871, 106.9372614",https://www.google.com/maps/place/Bakso+Selaawi/data=!4m7!3m6!1s0x2e6849ecfdc617f7:0x7ce88f06938f524c!8m2!3d-6.8940871!4d106.9372614!16s%2Fg%2F11gmxc9k_4!19sChIJ9xfG_exJaC4RTFKPkwaP6Hw?authuser=0&hl=en&rclk=1,Bakso restaurant,"Warnasari, Sukabumi, Sukabumi Regency, West Java 43151 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Sukabumi ,Wheelchair-accessible seating,,,,,,,,
chicken walk (chicken geprek & ayam penyet),4.4,27 reviews,, 7AM to 7PM,,"-6.9045748, 106.9179254",https://www.google.com/maps/place/chicken+walk+(chicken+geprek+%26+ayam+penyet)/data=!4m7!3m6!1s0x2e6849b1fa65754b:0xf09e830648320492!8m2!3d-6.9045748!4d106.9179254!16s%2Fg%2F11h_x93fs0!19sChIJS3Vl-rFJaC4RkgQySAaDnvA?authuser=0&hl=en&rclk=1,Restaurant,"Jl. Karamat Kel No.145, RT.01/RW.04, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43112 ",,No-contact delivery | Delivery | Takeaway | Dine-in,Halal food | Kids' menu,Lunch | Dinner,Good for kids,Casual | Cosy,Family friendly | Groups,Cash only | NFC mobile payments,  Sukabumi,Wheelchair-accessible seating,,,,,,,,
warung nasi i&m,5,1 review,phone:tel:085863444413,,,"-6.8947325, 106.938496",https://www.google.com/maps/place/warung+nasi+i%26m/data=!4m7!3m6!1s0x2e68497f080525d5:0xb29784b1e989fbd8!8m2!3d-6.8947325!4d106.938496!16s%2Fg%2F11h7ptb3_d!19sChIJ1SUFCH9JaC4R2PuJ6bGEl7I?authuser=0&hl=en&rclk=1,Nasi restaurant,"4W5Q+59X, Jl. Selabintana, selaawi rt 016/04, Jl. Selabintana, Warnasari, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43151 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,  Sukabumi,,,,,,,,,
