title,sub_category,address,metadata,coordinate,link,review_point,review_total,open_hours,regency,contact_number,amenities,site,check_in,check_out,price_level,Service options,Accessibility,Offerings,Dining options,Atmosphere,Payments,Amenities,Crowd,Planning,Highlights
Villa dudo,Housing development,"Jalan Desa Gembong RT.02/RW01, Pinggit, Gembong, Kec. Arjosari, Kabupaten Pacitan, Jawa Timur 63581 ",,"-8.1226974, 111.1676134",https://www.google.com/maps/place/Villa+dudo/data=!4m7!3m6!1s0x2e7963dc26836c67:0xcb372f71b484a8c7!8m2!3d-8.1226974!4d111.1676134!16s%2Fg%2F11rz62z5t0!19sChIJZ2yDJtxjeS4Rx6iEtHEvN8s?authuser=0&hl=en&rclk=1,,, Open 24 hours,  Pacitan,,,,,,,,,,,,,,,,
VILLA HJ KARPET MADIUN,Lodge,"Kunden, Sangen, Geger, Madiun Regency, East Java 63171 ",,"-7.6854053, 111.5359352",https://www.google.com/maps/place/VILLA+HJ+KARPET+MADIUN/data=!4m7!3m6!1s0x2e79bd6e755d6ced:0x818a13f43de3f301!8m2!3d-7.6854053!4d111.5359352!16s%2Fg%2F11r1vcjsbg!19sChIJ7WxddW69eS4RAfPjPfQTioE?authuser=0&hl=en&rclk=1,5,2 reviews,, Madiun ,phone:tel:081359289409,,,,,,,,,,,,,,,
Javas Alteza Home,Villa,"Kwaron, Tambakrejo, Pacitan, Pacitan Regency, East Java 63518 ",,"-8.1410307, 111.1315702",https://www.google.com/maps/place/Javas+Alteza+Home/data=!4m7!3m6!1s0x2e7963a27a66b84d:0x812cd5e68730525f!8m2!3d-8.1410307!4d111.1315702!16s%2Fg%2F11rz74tzp_!19sChIJTbhmeqJjeS4RX1Iwh-bVLIE?authuser=0&hl=en&rclk=1,,,, Pacitan ,,,,,,,,,,,,,,,,
VILLA PERSADA,Gated community,"8HPC+XPP, Jl. Raya Dungus, Jatimangu, Mojopurno, Kec. Wungu, Kabupaten Madiun, Jawa Timur 63181 ",,"-7.662544, 111.5718373",https://www.google.com/maps/place/VILLA+PERSADA/data=!4m7!3m6!1s0x2e79bbefa3eb7285:0x4a444455aa2425b7!8m2!3d-7.662544!4d111.5718373!16s%2Fg%2F11j7334j_7!19sChIJhXLro--7eS4RtyUkqlVEREo?authuser=0&hl=en&rclk=1,,, 8AM to 4PM,  Madiun,phone:tel:085643888007,,,,,,,,,,,,,,,
FENDY HOUSE,Villa,"V6C3+626, Kebonpucung, Kalikuning, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur ",,"-8.1294532, 111.2025287",https://www.google.com/maps/place/FENDY+HOUSE/data=!4m7!3m6!1s0x2e7965036a6cf247:0x71a885028bd7bfde!8m2!3d-8.1294532!4d111.2025287!16s%2Fg%2F11t7phrvtr!19sChIJR_JsagNleS4R3r_XiwKFqHE?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Perum Villa Sitinggil A-5 Pilangrejo,Housing development,"Villa sitinggil A-5, Area Sawah, Pilangrejo, Kec. Wungu, Kabupaten Madiun, Jawa Timur 63181 ",,"-7.666859, 111.5583314",https://www.google.com/maps/place/Perum+Villa+Sitinggil+A-5+Pilangrejo/data=!4m7!3m6!1s0x2e79bd588158de17:0x25036d8cd59c54ed!8m2!3d-7.666859!4d111.5583314!16s%2Fg%2F11t3ytdgmg!19sChIJF95YgVi9eS4R7VSc1YxtAyU?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
Richo Sari Villa,Villa,"R6PX+39, Ngasem, Jatigunung, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur 63571 ",,"-8.1647876, 111.2484418",https://www.google.com/maps/place/Richo+Sari+Villa/data=!4m7!3m6!1s0x2e7967a8e39745f3:0xbb4f5c2d99a3a22e!8m2!3d-8.1647876!4d111.2484418!16s%2Fg%2F11smgn16jy!19sChIJ80WX46hneS4RLqKjmS1cT7s?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Mbah Suwarno,Villa,"V3V2+583, Jl. Punung-Ploso, Jaten, Pelem, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552 ",,"-8.107118, 111.0508092",https://www.google.com/maps/place/Mbah+Suwarno/data=!4m7!3m6!1s0x2e7bd9ec59a3c811:0xe75c78c8a4bfaeaa!8m2!3d-8.107118!4d111.0508092!16s%2Fg%2F11p5z1cw52!19sChIJEcijWezZey4Rqq6_pMh4XOc?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Perumahan the ViLLa Nirwana,Housing complex,"Jl. Musi No.8B, RT.19/RW.06, Sanggarahan, Mejayan, Kec. Mejayan, Kabupaten Madiun, Jawa Timur 63153 ",,"-7.5476818, 111.6660691",https://www.google.com/maps/place/Perumahan+the+ViLLa+Nirwana/data=!4m7!3m6!1s0x2e79c707da348561:0x4767818dfeb20b0d!8m2!3d-7.5476818!4d111.6660691!16s%2Fg%2F11r9h0lvlp!19sChIJYYU02gfHeS4RDQuy_o2BZ0c?authuser=0&hl=en&rclk=1,5,1 review, 8AM to 4AM,  Madiun,,,,,,,,,,,,,,,,
Rumah ipul,Villa,"W636+6GP, Sepatahan, Mangunharjo, Kec. Arjosari, Kabupaten Pacitan, Jawa Timur 63581 ",,"-8.0969117, 111.2113254",https://www.google.com/maps/place/Rumah+ipul/data=!4m7!3m6!1s0x2e7965a9ba8a2607:0xb77363a17585070c!8m2!3d-8.0969117!4d111.2113254!16s%2Fg%2F11s1s5k8z0!19sChIJByaKuqlleS4RDAeFdaFjc7c?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Perumahan Villa Sitinggil Blok F5,Housing complex,"Perumahan Villa Sitinggil, Area Sawah, Pilangrejo, Kec. Wungu, Kabupaten Madiun, Jawa Timur 63181 ",,"-7.6659164, 111.5575438",https://www.google.com/maps/place/Perumahan+Villa+Sitinggil+Blok+F5/data=!4m7!3m6!1s0x2e79bde585e1d3a5:0xa60a18f627deee0!8m2!3d-7.6659164!4d111.5575438!16s%2Fg%2F11sq216zxn!19sChIJpdPhheW9eS4R4O59Yo-hYAo?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
omah simbah,Villa,"R38Q+23H, Craken Kulon, Sumberharjo, Pacitan, Pacitan Regency, East Java 63518 ",,"-8.1849424, 111.0877216",https://www.google.com/maps/place/omah+simbah/data=!4m7!3m6!1s0x2e7bdff5564d46ab:0x42fb318dde4dc195!8m2!3d-8.1849424!4d111.0877216!16s%2Fg%2F11s2scxygk!19sChIJq0ZNVvXfey4RlcFN3o0x-0I?authuser=0&hl=en&rclk=1,,,, Pacitan ,,,,,,,,,,,,,,,,
Sindhi Home,Homestay,"CHJH+RC, Daliran, Tanjungrejo, Kec. Madiun, Kabupaten Madiun, Jawa Timur 63151 ",,"-7.5679758, 111.578407",https://www.google.com/maps/place/Sindhi+Home/data=!4m7!3m6!1s0x2e79c7317776178b:0xa6deae3eb6948bfb!8m2!3d-7.5679758!4d111.578407!16s%2Fg%2F11rj54_0zz!19sChIJixd2dzHHeS4R-4uUtj6u3qY?authuser=0&hl=en&rclk=1,3,1 review,,  Madiun,,,,,,,,,,,,,,,,
"""F-day"" home",Villa,"W2PW+536, Muning, Jeblogan, Kec. Karangtengah, Kabupaten Wonogiri, Jawa Tengah 57677 ",,"-8.0645969, 111.0451472",https://www.google.com/maps/place/%22F-day%22+home/data=!4m7!3m6!1s0x2e7bd70ebbec1f3d:0x67a038e8d81a3158!8m2!3d-8.0645969!4d111.0451472!16s%2Fg%2F11s1rq06g6!19sChIJPR_suw7Xey4RWDEa2Og4oGc?authuser=0&hl=en&rclk=1,,,,  Wonogiri,,,,,,,,,,,,,,,,
Villa ngebong raya,Villa,"4MJH+32H, Dresi, Wagir Kidul, Kec. Pulung, Kabupaten Ponorogo, Jawa Timur 63481 ",,"-7.8698005, 111.677606",https://www.google.com/maps/place/Villa+ngebong+raya/data=!4m7!3m6!1s0x2e79a9a1065f8c01:0x56386f2a704d1972!8m2!3d-7.8698005!4d111.677606!16s%2Fg%2F11smblppq5!19sChIJAYxfBqGpeS4RchlNcCpvOFY?authuser=0&hl=en&rclk=1,5,1 review, Closed,  Ponorogo,,,,,,,,,,,,,,,,
Villa Tukinem,Villa,"R68W+HFH, Kaliputih, Jatigunung, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur ",,"-8.1835728, 111.2462209",https://www.google.com/maps/place/Villa+Tukinem/data=!4m7!3m6!1s0x2e79678f27f70d71:0xe4745243e4f05d78!8m2!3d-8.1835728!4d111.2462209!16s%2Fg%2F11tbz08xby!19sChIJcQ33J49neS4ReF3w5ENSdOQ?authuser=0&hl=en&rclk=1,5,1 review,,  Pacitan,,,,,,,,,,,,,,,,
Inisial H etan kubura,Villa,"8PV3+C8X, Kepak, Morang, Kec. Kare, Kabupaten Madiun, Jawa Timur 63182 ",,"-7.6563927, 111.7033722",https://www.google.com/maps/place/Inisial+H+etan+kubura/data=!4m7!3m6!1s0x2e79b1cf68b65f67:0x79f15778f09c6065!8m2!3d-7.6563927!4d111.7033722!16s%2Fg%2F11rpyphj1r!19sChIJZ1-2aM-xeS4RZWCc8HhX8Xk?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
Griyo Mistar,Villa,"R3JP+55M, Pelahan, Glinggangan, Pringkuku, Pacitan Regency, East Java 63518 ",,"-8.1695294, 111.0854294",https://www.google.com/maps/place/Griyo+Mistar/data=!4m7!3m6!1s0x2e7bd9e852d96c5f:0x85043aa1caff3ac0!8m2!3d-8.1695294!4d111.0854294!16s%2Fg%2F11rf6sr0n6!19sChIJX2zZUujZey4RwDr_yqE6BIU?authuser=0&hl=en&rclk=1,5,1 review,, Pacitan ,,,,,,,,,,,,,,,,
rumah giyar,Villa,"W636+6HF, Sepatahan, Mangunharjo, Kec. Arjosari, Kabupaten Pacitan, Jawa Timur 63581 ",,"-8.0969341, 111.2114373",https://www.google.com/maps/place/rumah+giyar/data=!4m7!3m6!1s0x2e79650e0e20a543:0xc852913100f32c35!8m2!3d-8.0969341!4d111.2114373!16s%2Fg%2F11s1s5mc2x!19sChIJQ6UgDg5leS4RNSzzADGRUsg?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Rumah pothol,Villa,"W37H+5WW, Area thileng klasen, Area Pesawahan, Gondosari, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553 ",,"-8.0870072, 111.0798344",https://www.google.com/maps/place/Rumah+pothol/data=!4m7!3m6!1s0x2e7bd7934a0cb169:0xe75af080dc618297!8m2!3d-8.0870072!4d111.0798344!16s%2Fg%2F11rr4fzn8b!19sChIJabEMSpPXey4Rl4Jh3IDwWuc?authuser=0&hl=en&rclk=1,5,1 review,,  Pacitan,,,,,,,,,,,,,,,,
Perumahan garden,Villa,"Jl. Raya Magersaren No.2, Dusun Ngukiran, Tawangrejo, Kec. Gemarang, Kabupaten Madiun, Jawa Timur 63156 ",,"-7.6538592, 111.7158381",https://www.google.com/maps/place/Perumahan+garden/data=!4m7!3m6!1s0x2e79b191288922a3:0x10332e57a9196ce6!8m2!3d-7.6538592!4d111.7158381!16s%2Fg%2F11s3vs_434!19sChIJoyKJKJGxeS4R5mwZqVcuMxA?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
Rumah crongos family,Villa,"W3J7+F86, Jl. Raya Jeblogan Ploso, Sulang, Ploso, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553 ",,"-8.067643, 111.062744",https://www.google.com/maps/place/Rumah+crongos+family/data=!4m7!3m6!1s0x2e7bd70904bdd9e7:0xf35a7018d1a71086!8m2!3d-8.067643!4d111.062744!16s%2Fg%2F11s7g_n8bl!19sChIJ59m9BAnXey4RhhCn0RhwWvM?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
KOST MBAH SANEN,Villa,"V4HX+9X5, Jl. Arjosari-Banyu Anget, Krajan, Arjosari, Kec. Arjosari, Kabupaten Pacitan, Jawa Timur 63581 ",,"-8.1216193, 111.1499827",https://www.google.com/maps/place/KOST+MBAH+SANEN/data=!4m7!3m6!1s0x2e79636e10994bbd:0x210c44cf70af9a3!8m2!3d-8.1216193!4d111.1499827!16s%2Fg%2F11nn1tz558!19sChIJvUuZEG5jeS4Ro_kK90zEEAI?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Griya Mbah Buyut,Villa,"Jelok, Kayen, Pacitan, Pacitan Regency, East Java 63518 ",,"-8.2028485, 111.1343446",https://www.google.com/maps/place/Griya+Mbah+Buyut/data=!4m7!3m6!1s0x2e796127026b47e7:0xf1dcee78761547f5!8m2!3d-8.2028485!4d111.1343446!16s%2Fg%2F11rcq4f957!19sChIJ50drAidheS4R9UcVdnju3PE?authuser=0&hl=en&rclk=1,5,4 reviews, Open 24 hours, Pacitan ,phone:tel:082132932148,,,,,,,,,,,,,,,
Riza,Villa,"V6MR+8C3, Unnamed Road, Klesem, Kebondalem, Kec. Tegalombo, Kabupaten Pacitan, Jawa Timur 63582 ",,"-8.1167319, 111.2410386",https://www.google.com/maps/place/Riza/data=!4m7!3m6!1s0x2e79658d6a1d90d3:0x5e4ca5bd53df7fa8!8m2!3d-8.1167319!4d111.2410386!16s%2Fg%2F11p4jbzcg8!19sChIJ05Adao1leS4RqH_fU72lTF4?authuser=0&hl=en&rclk=1,,,,  Pacitan,phone:tel:082244187585,,,,,,,,,,,,,,,
PERUMAHAN VILLA SITINGGIL PILANGREJO KAB.MADIUN,Housing development,"Perumahan Villa Setinggil, Area Sawah, Pilangrejo, Kec. Wungu, Kabupaten Madiun, Jawa Timur 63181 ",,"-7.6671474, 111.5582603",https://www.google.com/maps/place/PERUMAHAN+VILLA+SITINGGIL+PILANGREJO+KAB.MADIUN/data=!4m7!3m6!1s0x2e79bd73e36af07f:0xe4cb29b6bd290d02!8m2!3d-7.6671474!4d111.5582603!16s%2Fg%2F11h4g2qn8z!19sChIJf_Bq43O9eS4RAg0pvbYpy-Q?authuser=0&hl=en&rclk=1,4.5,39 reviews, 9AM to 5PM,  Madiun,,,,,,,,,,,,,,,,
Swt,Villa,"Q5R2+8VH, Nglaos, Banjarjo, Kec. Kebonagung, Kabupaten Pacitan, Jawa Timur 63561 ",,"-8.2091832, 111.1522465",https://www.google.com/maps/place/Swt/data=!4m7!3m6!1s0x2e79619f1116f6db:0x8b47801cb40cb9a1!8m2!3d-8.2091832!4d111.1522465!16s%2Fg%2F11sg8jdmvb!19sChIJ2_YWEZ9heS4RobkMtByAR4s?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Basecamp seken,Villa,"FHQR+C38, Dusun I, Pacinan, Kec. Balerejo, Kabupaten Madiun, Jawa Timur 63152 ",,"-7.5110108, 111.5899154",https://www.google.com/maps/place/Basecamp+seken/data=!4m7!3m6!1s0x2e79c73b570d232b:0x2801bf5bb368db0b!8m2!3d-7.5110108!4d111.5899154!16s%2Fg%2F11jyfd4j14!19sChIJKyMNVzvHeS4RC9tos1u_ASg?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
villa,Bed & breakfast,"Q3JH+FJR, Balong, Sidoharjo, Pacitan, Pacitan Regency, East Java 63514 ",,"-8.2187723, 111.0790179",https://www.google.com/maps/place/villa/data=!4m7!3m6!1s0x2e7bdf9d6640297f:0xa9d09049f7432f08!8m2!3d-8.2187723!4d111.0790179!16s%2Fg%2F11pdwhpmtw!19sChIJfylAZp3fey4RCC9D90mQ0Kk?authuser=0&hl=en&rclk=1,,,, Pacitan ,,,,,,,,,,,,,,,,
Villa asri ngasinan,Villa,"3753+VW2, Gupakan, Pucung, Kec. Kismantoro, Kabupaten Wonogiri, Jawa Tengah 57696 ",,"-7.9403715, 111.25477",https://www.google.com/maps/place/Villa+asri+ngasinan/data=!4m7!3m6!1s0x2e7979ff4b33504b:0xf62c18e5af006a68!8m2!3d-7.9403715!4d111.25477!16s%2Fg%2F11nnr8rb90!19sChIJS1AzS_95eS4RaGoAr-UYLPY?authuser=0&hl=en&rclk=1,,,,  Wonogiri,,,,,,,,,,,,,,,,
Villa Joko,Lodging,"4M9R+MXR, Kendal, Bareng, Kec. Pudak, Kabupaten Ponorogo, Jawa Timur 63418 ",,"-7.8807615, 111.6923889",https://www.google.com/maps/place/Villa+Joko/data=!4m7!3m6!1s0x2e79a83d2c308109:0x7c6d17542d9822f5!8m2!3d-7.8807615!4d111.6923889!16s%2Fg%2F11bx6_pd20!19sChIJCYEwLD2oeS4R9SKYLVQXbXw?authuser=0&hl=en&rclk=1,3.8,12 reviews,,  Ponorogo,,,,,,,,,,,,,,,,
YSW HOME,Villa,"Jl. Sakura No.12, Purwoharjo, Baleharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63511 ",,"-8.2009389, 111.1047509",https://www.google.com/maps/place/YSW+HOME/data=!4m7!3m6!1s0x2e79610bcbdf2dfd:0x73905027b0e790d5!8m2!3d-8.2009389!4d111.1047509!16s%2Fg%2F11spsqhzjy!19sChIJ_S3fywtheS4R1ZDnsCdQkHM?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Keluarga Bejo,Villa,"V792+4WX, Ngelo, Ngile, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur 63571 ",,"-8.1321282, 111.2523644",https://www.google.com/maps/place/Keluarga+Bejo/data=!4m7!3m6!1s0x2e79658398c12629:0x76def78011fd9279!8m2!3d-8.1321282!4d111.2523644!16s%2Fg%2F11qb69nbqt!19sChIJKSbBmINleS4ReZL9EYD33nY?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Vicky's Home,Villa,"RT/RW 002/005 Klepu, Losari, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur 63571 ",,"-8.166101, 111.2727113",https://www.google.com/maps/place/Vicky's+Home/data=!4m7!3m6!1s0x2e7967dda1b441ab:0x907bdb195a99fe29!8m2!3d-8.166101!4d111.2727113!16s%2Fg%2F11q949mxt8!19sChIJq0G0od1neS4RKf6ZWhnbe5A?authuser=0&hl=en&rclk=1,5,2 reviews, Closed,  Pacitan,phone:tel:083845076056,,,,,,,,,,,,,,,
Villa mbah TONO,Log cabins,"HH93+546, Boto, Lego Wetan, Kec. Bringin, Kabupaten Ngawi, Jawa Timur 63285 ",,"-7.4320814, 111.5527762",https://www.google.com/maps/place/Villa+mbah+TONO/data=!4m7!3m6!1s0x2e79c3901bfdeedd:0xede562327e2b8964!8m2!3d-7.4320814!4d111.5527762!16s%2Fg%2F11nxsjys51!19sChIJ3e79G5DDeS4RZIkrfjJi5e0?authuser=0&hl=en&rclk=1,,,,  Ngawi,,,,,,,,,,,,,,,,
RUMAH UJUNG SAWAH,Villa,"R5J2+RF, Krajan, Ketepung, Kec. Kebonagung, Kabupaten Pacitan, Jawa Timur 63561 ",,"-8.1679051, 111.1511432",https://www.google.com/maps/place/RUMAH+UJUNG+SAWAH/data=!4m7!3m6!1s0x2e796137cf62bc6d:0x7e1052405f721a15!8m2!3d-8.1679051!4d111.1511432!16s%2Fg%2F11sqsb75sy!19sChIJbbxizzdheS4RFRpyX0BSEH4?authuser=0&hl=en&rclk=1,5,1 review,,  Pacitan,,,,,,,,,,,,,,,,
Home Kalong racing,Villa,"7J3H+34, Petung, Padas, Kec. Dagangan, Kabupaten Madiun, Jawa Timur 63172 ",,"-7.7487933, 111.6293506",https://www.google.com/maps/place/Home+Kalong+racing/data=!4m7!3m6!1s0x2e79a543ee4c9611:0x8ce80609719a9dd2!8m2!3d-7.7487933!4d111.6293506!16s%2Fg%2F11sc0bqw0y!19sChIJEZZM7kOleS4R0p2acQkG6Iw?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
Konoha gakure,Villa,"R56M+3X7, Jetis, Sanggrahan, Kec. Kebonagung, Kabupaten Pacitan, Jawa Timur 63561 ",,"-8.1898334, 111.1849239",https://www.google.com/maps/place/Konoha+gakure/data=!4m7!3m6!1s0x2e796188c138c489:0xb72ef3693cc86d21!8m2!3d-8.1898334!4d111.1849239!16s%2Fg%2F11qvdmt3f9!19sChIJicQ4wYhheS4RIW3IPGnzLrc?authuser=0&hl=en&rclk=1,5,1 review,,  Pacitan,,,,,,,,,,,,,,,,
Rumah mas rasyid,Villa,"V2Q9+Q72, Jl. Dusun Jatisari, Nglarangan, Punung, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553 ",,"-8.1104014, 111.0185442",https://www.google.com/maps/place/Rumah+mas+rasyid/data=!4m7!3m6!1s0x2e7bd9a90ec7c2cd:0x9401e5537043c61b!8m2!3d-8.1104014!4d111.0185442!16s%2Fg%2F11qbst08qt!19sChIJzcLHDqnZey4RG8ZDcFPlAZQ?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Dhita House,Villa,"Q67M+G7, Krajan, Jetak, Kec. Tulakan, Kabupaten Pacitan, Jawa Timur 63571 ",,"-8.2361536, 111.2332335",https://www.google.com/maps/place/Dhita+House/data=!4m7!3m6!1s0x2e79675ca802fa9b:0x817f3ca366e77735!8m2!3d-8.2361536!4d111.2332335!16s%2Fg%2F11smyprnr7!19sChIJm_oCqFxneS4RNXfnZqM8f4E?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Rumah Hngky,Villa,"W7R6+MF6, Gununggede, Petungsinarang, Kec. Bandar, Kabupaten Pacitan, Jawa Timur 63583 ",,"-8.058665, 111.2616164",https://www.google.com/maps/place/Rumah+Hngky/data=!4m7!3m6!1s0x2e797bcdad980ced:0x48afeda604fc3cb6!8m2!3d-8.058665!4d111.2616164!16s%2Fg%2F11t1s9wrg2!19sChIJ7QyYrc17eS4Rtjz8BKbtr0g?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
Villa Jono Grend Park,Country house,"X53G+H82, Jalan, Ketro, Gondang, Nawangan, Pacitan Regency, East Java 63581 ",,"-8.0461112, 111.175781",https://www.google.com/maps/place/Villa+Jono+Grend+Park/data=!4m7!3m6!1s0x2e797d81db46d1ab:0xc76de17a91b794b0!8m2!3d-8.0461112!4d111.175781!16s%2Fg%2F11fsjf9p1f!19sChIJq9FG24F9eS4RsJS3kXrhbcc?authuser=0&hl=en&rclk=1,3,1 review, Closed, Pacitan ,,,,,,,,,,,,,,,,
KANTOR PEMASARAN PERUM VILLA SITINGGIL PILANGREJO MADIUN,Corporate office,"Perumahan Villa Setinggil, Area Sawah, Pilangrejo, Kec. Wungu, Kabupaten Madiun, Jawa Timur 63181 ",,"-7.6671115, 111.5582382",https://www.google.com/maps/place/KANTOR+PEMASARAN+PERUM+VILLA+SITINGGIL+PILANGREJO+MADIUN/data=!4m7!3m6!1s0x2e79bdeaf359d357:0x9fca1289fbb4fa49!8m2!3d-7.6671115!4d111.5582382!16s%2Fg%2F11fjwz9v8r!19sChIJV9NZ8-q9eS4RSfq0-4kSyp8?authuser=0&hl=en&rclk=1,5,1 review, 8AM to 4PM,  Madiun,phone:tel:085708010800,,,,,,,,,,,,,,,
villa griya nelangsa suratman,Lodging,"Jl. H. Kusnan No.9, Gundi, Kayen, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63518 ",,"-8.2080392, 111.1355673",https://www.google.com/maps/place/villa+griya+nelangsa+suratman/data=!4m7!3m6!1s0x2e7961bc501ec629:0x1fd1dc3a4bff2ed1!8m2!3d-8.2080392!4d111.1355673!16s%2Fg%2F11h7nbhmpw!19sChIJKcYeULxheS4R0S7_Szrc0R8?authuser=0&hl=en&rclk=1,,,,  Pacitan,phone:tel:085642485857,,,,,,,,,,,,,,,
RASI Segulung,Villa,"Bade, Segulung, Dagangan, Madiun Regency, East Java 63172 ",,"-7.7592328, 111.6207219",https://www.google.com/maps/place/RASI+Segulung/data=!4m7!3m6!1s0x2e79a5e39c4390f3:0x5595f7d9577dd571!8m2!3d-7.7592328!4d111.6207219!16s%2Fg%2F11lry97j8m!19sChIJ85BDnOOleS4RcdV9V9n3lVU?authuser=0&hl=en&rclk=1,5,20 reviews, 9AM to 5PM, Madiun ,phone:tel:087767898541,,http://www.rasimuskimahkost.wordpress.com/,,,,,,,,,,,,,
Omah biru,Villa,"X3X9+46J, Jl. Raya Batuwarno - Karangtengah, Soko, Ngambarsari, Kec. Karangtengah, Kabupaten Wonogiri, Jawa Tengah 57677 ",,"-8.0021512, 111.0680052",https://www.google.com/maps/place/Omah+biru/data=!4m7!3m6!1s0x2e7bd5ad52540129:0xf4add815aa456977!8m2!3d-8.0021512!4d111.0680052!16s%2Fg%2F11pc4_zmfm!19sChIJKQFUUq3Vey4Rd2lFqhXYrfQ?authuser=0&hl=en&rclk=1,,,,  Wonogiri,,,,,,,,,,,,,,,,
Tjahyoe Canary,Villa,"7J25+6Q7, Jl. Gendon, Segulung, Kec. Dagangan, Kabupaten Madiun, Jawa Timur 63172 ",,"-7.749458, 111.6094117",https://www.google.com/maps/place/Tjahyoe+Canary/data=!4m7!3m6!1s0x2e79a5d12e3ead85:0x1112eb5265b03b69!8m2!3d-7.749458!4d111.6094117!16s%2Fg%2F11sntr7x4j!19sChIJha0-LtGleS4RaTuwZVLrEhE?authuser=0&hl=en&rclk=1,,,,  Madiun,phone:tel:081230930713,,,,,,,,,,,,,,,
Villa anggrek,Housing complex,"V7PP+2WJ, Jl. Raya Tegalombo - Tulakan, Krajan, Kasihan, Kec. Tegalombo, Kabupaten Pacitan, Jawa Timur 63582 ",,"-8.1149199, 111.2872537",https://www.google.com/maps/place/Villa+anggrek/data=!4m7!3m6!1s0x2e796f1a722b33d7:0x71322a7503e354b2!8m2!3d-8.1149199!4d111.2872537!16s%2Fg%2F11lkbrw4bt!19sChIJ1zMrchpveS4RslTjA3UqMnE?authuser=0&hl=en&rclk=1,,,,  Pacitan,,,,,,,,,,,,,,,,
D'Kocheng Cat House,Store,"Perumahan Villa Setinggil B42, Pilangrejo, Kec. Wungu ",,"-7.6660284, 111.5584732",https://www.google.com/maps/place/D'Kocheng+Cat+House/data=!4m7!3m6!1s0x2e79bdf92cac7c09:0xc5596565fc8231b0!8m2!3d-7.6660284!4d111.5584732!16s%2Fg%2F11s7_2j3xn!19sChIJCXysLPm9eS4RsDGC_GVlWcU?authuser=0&hl=en&rclk=1,,,,,phone:tel:0881026696339,,,,,,,,,,,,,,,
Villa Mbah Somad,Villa,"346P+8X3, Pundungan, Sidorejo, Kec. Tirtomoyo, Kabupaten Wonogiri, Jawa Tengah 57672 ",,"-7.9392276, 111.1374227",https://www.google.com/maps/place/Villa+Mbah+Somad/data=!4m7!3m6!1s0x2e797fc34cec2947:0xde4e4fce88cd6c17!8m2!3d-7.9392276!4d111.1374227!16s%2Fg%2F11swthj2m8!19sChIJRynsTMN_eS4RF2zNiM5PTt4?authuser=0&hl=en&rclk=1,,,,  Wonogiri,,,,,,,,,,,,,,,,
WARNET VILLA,Corporate office,"CG3P+HJH, Nglames, Kec. Madiun, Kabupaten Madiun, Jawa Timur 63151 ",,"-7.5960747, 111.5366105",https://www.google.com/maps/place/WARNET+VILLA/data=!4m7!3m6!1s0x2e79bf0261a0ab1f:0xe81b238fcb07f2b5!8m2!3d-7.5960747!4d111.5366105!16s%2Fg%2F11f651p7kj!19sChIJH6ugYQK_eS4RtfIHy48jG-g?authuser=0&hl=en&rclk=1,,,,  Madiun,,,,,,,,,,,,,,,,
