title,review_point,review_total,address,site,contact_number,check_in,check_out,metadata,amenities,coordinate,regency,link,sub_category,price_level,open_hours,about
Seaesta Komodo Hostel & Hotel,4.6,712 reviews,"Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. ",https://www.seaestakomodo.com/,phone:tel:08113951005,,,, Free Wi-Fi available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Restaurant available  |  Airport shuttle unavailable  |  Fitness center available  |  Bar available ,"-8.4892093, 119.877856",  Manggarai Barat,https://www.google.com/maps/place/Seaesta+Komodo+Hostel+%26+Hotel/data=!4m10!3m9!1s0x2db467c4413be1d9:0x7e01660718c51f18!5m2!4m1!1i2!8m2!3d-8.4892093!4d119.877856!16s%2Fg%2F11h7b0x8v2!19sChIJ2eE7QcRntC0RGB_FGAdmAX4?authuser=0&hl=en&rclk=1,,,,
Urban24 Depok,4.2,247 reviews,"Jl. Kartini Kelurahan No.38J, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431 ",,,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available ,"-6.4095689, 106.8169059",  Depok,https://www.google.com/maps/place/Urban24+Depok/data=!4m10!3m9!1s0x2e69ebdf4b7177fd:0x9e6ec3fc862b3f2f!5m2!4m1!1i2!8m2!3d-6.4095689!4d106.8169059!16s%2Fg%2F11hfbnm_s2!19sChIJ_XdxS9_raS4RLz8rhvzDbp4?authuser=0&hl=en&rclk=1,,,,
Livinn Hostel Surabaya,4.2,"1,307 reviews","Jl. Gubeng Pojok No.5, Ketabang, Kec. Genteng, Kota SBY, Jawa Timur 60272 ",,phone:tel:03199245515,,,, Free Wi-Fi available  |  Free breakfast available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available ,"-7.2632833, 112.7511778",  SBY,https://www.google.com/maps/place/Livinn+Hostel+Surabaya/data=!4m10!3m9!1s0x2dd7f97cd21615bb:0x339fad89870f5809!5m2!4m1!1i2!8m2!3d-7.2632833!4d112.7511778!16s%2Fg%2F11dfmlnj0v!19sChIJuxUW0nz51y0RCVgPh4mtnzM?authuser=0&hl=en&rclk=1,,,,
Waecicu Eden Beach Hotel,3.9,106 reviews,"GVV9+XH6, Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara ",http://waecicu.com/,,,,, Free Wi-Fi available  |  Pool unavailable  |  Laundry service available  |  Pet-friendly unavailable  |  Beach access available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available ,"-8.455081, 119.8689009", West Manggarai ,https://www.google.com/maps/place/Waecicu+Eden+Beach+Hotel/data=!4m10!3m9!1s0x2db4661cc666bde5:0xf95d35e38fcbb72e!5m2!4m1!1i2!8m2!3d-8.455081!4d119.8689009!16s%2Fg%2F11cn9yvyy8!19sChIJ5b1mxhxmtC0RLrfLj-M1Xfk?authuser=0&hl=en&rclk=1,,,,
Hotel Garuda near Alun Alun Banjarnegara,3.4,181 reviews,"Krandegan, Banjarnegara, Central Java 53474 ",https://www.reddoorz.com/id-id/hotel/indonesia/banjarnegara/bawang/hotel-garuda-banjarnegara?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,phone:tel:0286592019,,,, Pool unavailable ,"-7.3952221, 109.6988246",,https://www.google.com/maps/place/Hotel+Garuda+near+Alun+Alun+Banjarnegara/data=!4m10!3m9!1s0x2e7aa9f630a4fabb:0xcd9040fba3709f68!5m2!4m1!1i2!8m2!3d-7.3952221!4d109.6988246!16s%2Fg%2F11gs8f442s!19sChIJu_qkMPapei4RaJ9wo_tAkM0?authuser=0&hl=en&rclk=1,,,,
Swiss-Belresort Dago Heritage,4.6,"6,531 reviews","Jl. Lapangan Golf Dago Atas No.78, Cigadung, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40135 ",https://www.swiss-belhotel.com/en-gb/swiss-belresort-dago-heritage,phone:tel:02220459999,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Laundry service available  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center available ,"-6.8668565, 107.6252724",  Bandung,https://www.google.com/maps/place/Swiss-Belresort+Dago+Heritage/data=!4m10!3m9!1s0x2e68e7c03708e845:0x7a97251676356929!5m2!4m1!1i2!8m2!3d-6.8668565!4d107.6252724!16s%2Fg%2F11gwmjd4vx!19sChIJRegIN8DnaC4RKWk1dhYll3o?authuser=0&hl=en&rclk=1,,,,
Anindya Homestay,4.8,107 reviews,"Gg. Jasmine, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228 ",http://www.bedsolving.com/,phone:tel:081139616886,,,, Free Wi-Fi available  |  Free breakfast available  |  Outdoor pool available ,"-8.6948715, 115.2612977",  Denpasar,https://www.google.com/maps/place/Anindya+Homestay/data=!4m10!3m9!1s0x2dd24160d7c37e53:0x22838274f6270ad9!5m2!4m1!1i2!8m2!3d-8.6948715!4d115.2612977!16s%2Fg%2F11h_z7jxc2!19sChIJU37D12BB0i0R2Qon9nSCgyI?authuser=0&hl=en&rclk=1,,,,
Hotel Daily Inn Bandung,4.4,345 reviews,"Jl. Dalem Kaum No.36, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251 ",https://dailyinn.id/,phone:tel:0895323453298,,,, Free Wi-Fi available  |  Paid breakfast available  |  Parking unavailable  |  Pool available  |  Laundry service available  |  Restaurant available ,"-6.922392, 107.6054988",  Bandung,https://www.google.com/maps/place/Hotel+Daily+Inn+Bandung/data=!4m10!3m9!1s0x2e68e70496a19605:0xaf1336662bf78039!5m2!4m1!1i2!8m2!3d-6.922392!4d107.6054988!16s%2Fg%2F11nfn_1q55!19sChIJBZahlgTnaC4ROYD3K2Y2E68?authuser=0&hl=en&rclk=1,,,,
Chandra Hotel,3.6,241 reviews,"Jl. Pahlawan No.27, Karangsari, Giyanti, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56251 ",,phone:tel:0293491645,,,, Wi-Fi available  |  Pool unavailable  |  Kid-friendly available ,"-7.3275461, 110.1796364",  Temanggung,https://www.google.com/maps/place/Chandra+Hotel/data=!4m10!3m9!1s0x2e7a828e8f71132d:0x9bc970da4bda2f6c!5m2!4m1!1i2!8m2!3d-7.3275461!4d110.1796364!16s%2Fg%2F1hc10k356!19sChIJLRNxj46Cei4RbC_aS9pwyZs?authuser=0&hl=en&rclk=1,,,,
OYO 3896 Villa Pesona Wisata Puncak,4.2,247 reviews,"Sukatani 1, Jalan Hanjawar Pacet, Gadog, Puncak, Cipanas, West Java 40181 ",https://www.oyorooms.com/h/105209/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_CJR026&latitude=-6.72743677746&longitude=107.067951914&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Air-conditioned available ,"-6.7195326, 107.0616147",,https://www.google.com/maps/place/OYO+3896+Villa+Pesona+Wisata+Puncak/data=!4m10!3m9!1s0x2e69b245c54d750d:0xf084c304eeb5ab9b!5m2!4m1!1i2!8m2!3d-6.7195326!4d107.0616147!16s%2Fg%2F11c6ljn47r!19sChIJDXVNxUWyaS4Rm6u17gTDhPA?authuser=0&hl=en&rclk=1,,,,
SPOT ON 90159 Puri Asoka Guest House,3.9,152 reviews,"Jl. Semarang - Surakarta Gang. Brantas, Krajan, Bawen, Kec. Bawen, Kota Semarang, Jawa Tengah 50661 ",https://www.oyorooms.com/h/108245/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_SRG085&latitude=-7.2446627&longitude=110.4360189&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable ,"-7.245588, 110.4360981",  Semarang,https://www.google.com/maps/place/SPOT+ON+90159+Puri+Asoka+Guest+House/data=!4m10!3m9!1s0x2e7083db6c34412f:0x1088cee0d720b29a!5m2!4m1!1i2!8m2!3d-7.245588!4d110.4360981!16s%2Fg%2F11b7xvsk40!19sChIJL0E0bNuDcC4RmrIg1-DOiBA?authuser=0&hl=en&rclk=1,,,,
Grandmas Plus Hotel Airport,4.5,"1,732 reviews","Jl. Bypass Ngurah Rai No.99, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361 ",https://www.grandmashotel.com/airport,phone:tel:0361760319,,,, Free Wi-Fi available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available ,"-8.7416954, 115.181521",  Badung,https://www.google.com/maps/place/Grandmas+Plus+Hotel+Airport/data=!4m10!3m9!1s0x2dd2436347689f3b:0xe7901f1f2ce5dcf3!5m2!4m1!1i2!8m2!3d-8.7416954!4d115.181521!16s%2Fg%2F1jkyjnt0z!19sChIJO59oR2ND0i0R89zlLB8fkOc?authuser=0&hl=en&rclk=1,,,,
P Hotel,4.2,518 reviews,"Jl. Pramuka No.14, RW.7, Rawasari, Cempaka Putih, Central Jakarta City, Jakarta 10570 ",https://p-hotel-jakarta.business.site/,phone:tel:089693840909,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-6.1921169, 106.8672601", Central Jakarta ,https://www.google.com/maps/place/P+Hotel/data=!4m10!3m9!1s0x2e69f4f5b117d621:0x233d7d4553e1d892!5m2!4m1!1i2!8m2!3d-6.1921169!4d106.8672601!16s%2Fg%2F11f0wk7m1j!19sChIJIdYXsfX0aS4RktjhU0V9PSM?authuser=0&hl=en&rclk=1,,,,
Homestay Adem Ayem,4.4,139 reviews,"Jl. Kenanga No.64, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316 ",,phone:tel:082244702533,,,, Free Wi-Fi available  |  Free parking available  |  Kid-friendly available ,"-7.8932236, 112.531365",  Batu,https://www.google.com/maps/place/Homestay+Adem+Ayem/data=!4m10!3m9!1s0x2e78812e87efbb11:0x2ccd1d7a0f500c89!5m2!4m1!1i2!8m2!3d-7.8932236!4d112.531365!16s%2Fg%2F11c0rs8krm!19sChIJEbvvhy6BeC4RiQxQD3odzSw?authuser=0&hl=en&rclk=1,,,,
The Phoenix Hotel Yogyakarta - MGallery Collection,4.6,"4,661 reviews","Jl. Jend. Sudirman No.9, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233 ",https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5451&merchantid=seo-maps-ID-5451&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTkzNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,phone:tel:0274566617,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available  |  Bar available ,"-7.7826227, 110.3685066",  Yogyakarta,https://www.google.com/maps/place/The+Phoenix+Hotel+Yogyakarta+-+MGallery+Collection/data=!4m10!3m9!1s0x2e783ffff8aeead3:0xb9c77ab7663ae14d!5m2!4m1!1i2!8m2!3d-7.7826227!4d110.3685066!16s%2Fg%2F1v6k2rwq!19sChIJ0-qu-P8_eC4RTeE6Zrd6x7k?authuser=0&hl=en&rclk=1,,,,
Hotel Crystal Inn,4.0,587 reviews,"Jl. Diponegoro No.166, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314 ",,phone:tel:03415103100,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Kitchens in some rooms available  |  Airport shuttle unavailable ,"-7.8778709, 112.5324335",  Batu,https://www.google.com/maps/place/Hotel+Crystal+Inn/data=!4m10!3m9!1s0x2e7880d1fd43a75b:0xd7f9c79ee46691a8!5m2!4m1!1i2!8m2!3d-7.8778709!4d112.5324335!16s%2Fg%2F11c1x04vmm!19sChIJW6dD_dGAeC4RqJFm5J7H-dc?authuser=0&hl=en&rclk=1,,,,
OYO 1941 Aaa Residence Syariah,4.3,266 reviews,"6, Jl. Komp. Perum Pln No.6, RT.1/RW.9, Cililitan, Kramat Jati, East Jakarta City, Jakarta 13640 ",https://www.oyorooms.com/h/86111/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_JKT250&latitude=-6.2627286895&longitude=106.868033968&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Airport shuttle unavailable ,"-6.2625815, 106.8680591", East Jakarta ,https://www.google.com/maps/place/OYO+1941+Aaa+Residence+Syariah/data=!4m10!3m9!1s0x2e69f3bdb9c4454d:0x8bece67973fcea8f!5m2!4m1!1i2!8m2!3d-6.2625815!4d106.8680591!16s%2Fg%2F11j10qv4yy!19sChIJTUXEub3zaS4Rj-r8c3nm7Is?authuser=0&hl=en&rclk=1,,,,
De'Boutique Style Hotel,4.4,"2,029 reviews","Jl. Kaliurang No.53, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111 ",,phone:tel:0341365000,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-7.9628271, 112.6316219",  Malang,https://www.google.com/maps/place/De'Boutique+Style+Hotel/data=!4m10!3m9!1s0x2dd6282d605c227d:0xbd834103d58b7034!5m2!4m1!1i2!8m2!3d-7.9628271!4d112.6316219!16s%2Fg%2F11bv1ch1y_!19sChIJfSJcYC0o1i0RNHCL1QNBg70?authuser=0&hl=en&rclk=1,,,,
OYO 1640 Fallinda Hotel,3.5,400 reviews,"116, Jl. Raya Sukahati No.116, RT.3/RW.8, Sukahati, Bogor City, West Java 16913 ",https://www.oyorooms.com/h/81747/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BGR013&latitude=-6.47614069334&longitude=106.819222122&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available ,"-6.4761407, 106.8192221", Bogor ,https://www.google.com/maps/place/OYO+1640+Fallinda+Hotel/data=!4m10!3m9!1s0x2e69c1d5a87e72d1:0x2455f8a64fe688e4!5m2!4m1!1i2!8m2!3d-6.4761407!4d106.8192221!16s%2Fg%2F11j0k06pp9!19sChIJ0XJ-qNXBaS4R5IjmT6b4VSQ?authuser=0&hl=en&rclk=1,,,,
Sky-Inn Express Hotel,4.1,847 reviews,"Buana Vista Indah 1 Blok K No.100, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29465 ",,phone:tel:07784804555,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"1.1311404, 104.0977877",  Batam,https://www.google.com/maps/place/Sky-Inn+Express+Hotel/data=!4m10!3m9!1s0x31d98882f8df422f:0x83e379030b19fb60!5m2!4m1!1i2!8m2!3d1.1311404!4d104.0977877!16s%2Fg%2F11bzsdjvk5!19sChIJL0Lf-IKI2TERYPsZCwN544M?authuser=0&hl=en&rclk=1,,,,
OYO 2580 Hotel Puri Royan,3.9,140 reviews,"Jl. Teuku Umar No.168, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113 ",https://www.oyorooms.com/h/92477/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BLI130&latitude=-8.67812542915&longitude=115.205084905&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable ,"-8.6781416, 115.2051178",  Denpasar,https://www.google.com/maps/place/OYO+2580+Hotel+Puri+Royan/data=!4m10!3m9!1s0x2dd240c443b10333:0x404adfbef9ffb97a!5m2!4m1!1i2!8m2!3d-8.6781416!4d115.2051178!16s%2Fg%2F1tj3hg_w!19sChIJMwOxQ8RA0i0Rern_-b7fSkA?authuser=0&hl=en&rclk=1,,,,
SPOT ON 1847 Hotel Maya,3.4,34 reviews,"Jl. Raya Bening No.43, Beru, Kec. Wlingi, Kabupaten Blitar, Jawa Timur 66184 ",https://www.oyorooms.com/h/84844/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BTR001&latitude=-8.074658&longitude=112.317327&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly available  |  Fitness center unavailable ,"-8.0729958, 112.3178405",  Blitar,https://www.google.com/maps/place/SPOT+ON+1847+Hotel+Maya/data=!4m10!3m9!1s0x2e7893c5b0b6a6c5:0x8bfc6610713071c5!5m2!4m1!1i2!8m2!3d-8.0729958!4d112.3178405!16s%2Fg%2F11j4xqy0zz!19sChIJxaa2sMWTeC4RxXEwcRBm_Is?authuser=0&hl=en&rclk=1,,,,
Hotel Surya Andesa,3.6,119 reviews,"Jl. Raya Solo - Yogyakarta, Jetis, Klepu, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465 ",,phone:tel:0272555102,,,, Wi-Fi available  |  Pool unavailable ,"-7.664709, 110.66717",  Klaten,https://www.google.com/maps/place/Hotel+Surya+Andesa/data=!4m10!3m9!1s0x2e7a40fdb189eccf:0xadc961f40ad3f899!5m2!4m1!1i2!8m2!3d-7.664709!4d110.66717!16s%2Fg%2F11b6j_9db1!19sChIJz-yJsf1Aei4RmfjTCvRhya0?authuser=0&hl=en&rclk=1,,,,
Hotel Daily Inn,4.4,"1,537 reviews","Jl. Jenderal Ahmad Yani No.67, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 ",https://dailyinn.id/,phone:tel:02121473999,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-6.1771116, 106.875287",  Jakarta Pusat,https://www.google.com/maps/place/Hotel+Daily+Inn/data=!4m10!3m9!1s0x2e69f4fd2119b373:0xb20d11c731344bb3!5m2!4m1!1i2!8m2!3d-6.1771116!4d106.875287!16s%2Fg%2F11g8lhrzth!19sChIJc7MZIf30aS4Rs0s0MccRDbI?authuser=0&hl=en&rclk=1,,,,
Moyang Homestay,4.5,70 reviews,"Tande Hilir No. 41 RT. 1 / RW. 3, Daik, Kec. Lingga, Kabupaten Lingga, Kepulauan Riau 29872 ",https://www.facebook.com/Moyang-Homestay-1135497453170610/,phone:tel:087894254585,,,, Free parking available  |  Pool unavailable  |  Laundry service available ,"-0.2185475, 104.6145135",  Lingga,https://www.google.com/maps/place/Moyang+Homestay/data=!4m10!3m9!1s0x2e276a2af289d177:0x5736be21b2091dc3!5m2!4m1!1i2!8m2!3d-0.2185475!4d104.6145135!16s%2Fg%2F11c606f0j5!19sChIJd9GJ8ipqJy4Rwx0JsiG-Nlc?authuser=0&hl=en&rclk=1,,,,
Amnaya Resort Nusa Dua,4.8,621 reviews,"Jl. Pratama No.87, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363 ",http://www.amnayahotels.com/,phone:tel:03614773380,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center available ,"-8.7704486, 115.2220281",  Badung,https://www.google.com/maps/place/Amnaya+Resort+Nusa+Dua/data=!4m10!3m9!1s0x2dd2439fff612a63:0xdaf1f32e7da02729!5m2!4m1!1i2!8m2!3d-8.7704486!4d115.2220281!16s%2Fg%2F11gxs27h0b!19sChIJYyph_59D0i0RKSegfS7z8do?authuser=0&hl=en&rclk=1,,,,
OYO 1620 Sion Family Residence,3.8,285 reviews,"15, Jl. Gajah Mada No.15, Perumda, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58122 ",https://www.oyorooms.com/h/81013/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_GROB001&latitude=-7.092336&longitude=110.905429&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available ,"-7.092336, 110.905429",  Grobogan,https://www.google.com/maps/place/OYO+1620+Sion+Family+Residence/data=!4m10!3m9!1s0x2e70b075ae510a57:0x311fe3063a75afa4!5m2!4m1!1i2!8m2!3d-7.092336!4d110.905429!16s%2Fg%2F11h810kqgx!19sChIJVwpRrnWwcC4RpK91OgbjHzE?authuser=0&hl=en&rclk=1,,,,
Veranda Hotel at Pakubuwono,4.4,"6,129 reviews","Jl. Kyai Maja No.63, RT.6/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 ",http://www.verandahotels.com/,phone:tel:02173910808,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center available ,"-6.2396073, 106.7855732",  Jakarta Selatan,https://www.google.com/maps/place/Veranda+Hotel+at+Pakubuwono/data=!4m10!3m9!1s0x2e69f115ca81b371:0x6b5c67954e308ea2!5m2!4m1!1i2!8m2!3d-6.2396073!4d106.7855732!16s%2Fg%2F11b74vddl6!19sChIJcbOByhXxaS4Roo4wTpVnXGs?authuser=0&hl=en&rclk=1,,,,
Hotel Arjuna Sari,3.8,249 reviews,"Jl. Lemah Abang Bandungan No.Km.2, Krajan, Bergas Kidul, Kec. Bergas, Kabupaten Semarang, Jawa Tengah 50552 ",http://hotelarjunasaribandungan.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,phone:tel:0298526120,,,, Breakfast unavailable  |  Free parking available  |  Accessible unavailable  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Business center unavailable  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Fitness center unavailable  |  Smoke-free available ,"-7.1932429, 110.4102045",  Semarang,https://www.google.com/maps/place/Hotel+Arjuna+Sari/data=!4m10!3m9!1s0x2e7086939a4afec3:0x8106e8168cb9fe3f!5m2!4m1!1i2!8m2!3d-7.1932429!4d110.4102045!16s%2Fg%2F1pzqbw563!19sChIJw_5KmpOGcC4RP_65jBboBoE?authuser=0&hl=en&rclk=1,,,,
Radisson Blu Bali Uluwatu,4.6,738 reviews,"Bali Uluwatu, Jl. Pemutih, Pecatu, Kec. Kuta Sel., Bali, 80364 ",https://www.radissonhotels.com/en-us/hotels/radisson-blu-bali-uluwatu?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:seap+h:IDDPSULU,phone:tel:03613008888,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly available  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center available ,"-8.8090744, 115.1104224",,https://www.google.com/maps/place/Radisson+Blu+Bali+Uluwatu/data=!4m10!3m9!1s0x2dd25ac456fe003f:0xaf85b08d7745dfc1!5m2!4m1!1i2!8m2!3d-8.8090744!4d115.1104224!16s%2Fg%2F11fy10v_fb!19sChIJPwD-VsRa0i0Rwd9Fd42wha8?authuser=0&hl=en&rclk=1,,,,
Hotel Citra Dewi,4.1,701 reviews,"Jl. Gintungan Utara, Jetis, Bandungan, Kabupaten Semarang, Jawa Tengah 50614 ",,phone:tel:0298711180,,,, Free Wi-Fi available  |  Free breakfast available  |  Parking available  |  Pool unavailable  |  Laundry service available ,"-7.218899, 110.3636488",  Semarang,https://www.google.com/maps/place/Hotel+Citra+Dewi/data=!4m10!3m9!1s0x2e70873292011753:0x3ac6f48ad05dbf5c!5m2!4m1!1i2!8m2!3d-7.218899!4d110.3636488!16s%2Fg%2F11bxf5czwx!19sChIJUxcBkjKHcC4RXL9d0Ir0xjo?authuser=0&hl=en&rclk=1,,,,
PRIME PARK Hotel & Convention Pekanbaru,4.3,"2,803 reviews","Jl. Jend. Sudirman No.3, RW.6, Simpang Tiga, Bukit Raya, Pekanbaru City, Riau 28284 ",http://www.primepark-pekanbaru.co.id/,phone:tel:07617878222,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available ,"0.4735615, 101.4553264", Pekanbaru ,https://www.google.com/maps/place/PRIME+PARK+Hotel+%26+Convention+Pekanbaru/data=!4m10!3m9!1s0x31d5aebdccdc4445:0x10999a8779c6d299!5m2!4m1!1i2!8m2!3d0.4735615!4d101.4553264!16s%2Fg%2F11c3286_jk!19sChIJRUTczL2u1TERmdLGeYeamRA?authuser=0&hl=en&rclk=1,,,,
Hotel Dafam Pekanbaru,4.3,"2,451 reviews","Jl. Sultan Syarif Qasim Kav. 150 Kota Tinggi Lima Puluh, Kota Tinggi, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28155 ",https://www.hoteldafam.com/hotel-directory/hotel-dafam-pekanbaru-riau,phone:tel:0761851177,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Accessible available  |  Pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available ,"0.5305072, 101.4535019",  Pekanbaru,https://www.google.com/maps/place/Hotel+Dafam+Pekanbaru/data=!4m10!3m9!1s0x31d5ac15b4ed8061:0xe9cd203696530035!5m2!4m1!1i2!8m2!3d0.5305072!4d101.4535019!16s%2Fg%2F12hlxvh_k!19sChIJYYDttBWs1TERNQBTljYgzek?authuser=0&hl=en&rclk=1,,,,
Uma Hostel Nusa Lembongan,4.9,19 reviews,"Song Lambung Beach Nusa Lembongan, Jungutbatu, Nusa Penida, Klungkung Regency, Bali 80771 ",https://umahostellembongan-bke.zoombookdirect.com/web/en/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,phone:tel:082145918510,,,, Free Wi-Fi available  |  Free breakfast available  |  Pool unavailable  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available  |  Fitness center unavailable  |  Smoke-free available ,"-8.6847526, 115.4429743", Klungkung ,https://www.google.com/maps/place/Uma+Hostel+Nusa+Lembongan/data=!4m10!3m9!1s0x2dd26d1f88d394fd:0x5887e851fbfc9807!5m2!4m1!1i2!8m2!3d-8.6847526!4d115.4429743!16s%2Fg%2F11fkr26m35!19sChIJ_ZTTiB9t0i0RB5j8-1Hoh1g?authuser=0&hl=en&rclk=1,,,,
