title,review_point,review_total,sub_category,address,contact_number,open_hours,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,coordinate,link,Accessibility,regency,price_level,site,Planning,short_description,Highlights,check_in,From the business,metadata,Popular for,check_out,amenities
WARUNG MBAKZUL,4.6,12 reviews,Restaurant,"9P2Q+W4V, Jl. Raya Merdeka, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku ",, 10:30AM to 12AM,Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-5.6476382, 132.7378057",https://www.google.com/maps/place/WARUNG+MBAKZUL/data=!4m7!3m6!1s0x2d301b0fcb515fab:0x5973ea55c5cc9483!8m2!3d-5.6476382!4d132.7378057!16s%2Fg%2F11f10bcnqr!19sChIJq19Ryw8bMC0Rg5TMxVXqc1k?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,  Maluku Tenggara,,,,,,,,,,,
Kedai mini,,,Restaurant,"9P4R+2GM, Jl. Jend. Sudirman, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku ",phone:tel:082397472646,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-5.6449132, 132.741296",https://www.google.com/maps/place/Kedai+mini/data=!4m7!3m6!1s0x2d301bd29eb02b05:0xc6ac4ed2a7b0c19e!8m2!3d-5.6449132!4d132.741296!16s%2Fg%2F11h88smfhz!19sChIJBSuwntIbMC0RnsGwp9JOrMY?authuser=0&hl=en&rclk=1,,  Maluku Tenggara,,,,,,,,,,,
,5.0,1 review,,,phone:tel:081519754228, Open 24 hours,,,,,,,,"28.6478898, 180",https://www.google.com/maps/place/Warung+Ibu+Sati/data=!4m7!3m6!1s0x2e69dda7a1fea06d:0xa21af85f07959c1d!8m2!3d-6.5379931!4d106.6448707!16s%2Fg%2F11k6r8js7s!19sChIJbaD-oafdaS4RHZyVB1_4GqI?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Seafood Barokah jaya 03,3.7,3 reviews,Seafood restaurant,"Jl. Raya Leuwiliang, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:087820911155,,Delivery | Takeaway | Dine-in,Halal food | Late-night food,Lunch | Dinner,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5700681, 106.6242443",https://www.google.com/maps/place/Seafood+Barokah+jaya+03/data=!4m7!3m6!1s0x2e69d9096f4d9581:0xbb65d677bf967b94!8m2!3d-6.5700681!4d106.6242443!16s%2Fg%2F11fm41_8qk!19sChIJgZVNbwnZaS4RlHuWv3fWZbs?authuser=0&hl=en&rclk=1,,  Bogor,,http://kholayfals.blogspot.com/,,,,,,,,,
warteg Ganesha,5.0,3 reviews,Tegal restaurant,"Jl. Raya Leuwiliang Jl. Raya Karehkel No.20, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 5AM to 2AM,Takeaway | Dine-in,Coffee | Halal food,Lunch,,Cosy,,Cash only,"-6.5731038, 106.6319648",https://www.google.com/maps/place/warteg+Ganesha/data=!4m7!3m6!1s0x2e69db8467957711:0x8c16ef836befb98b!8m2!3d-6.5731038!4d106.6319648!16s%2Fg%2F11fgj872m5!19sChIJEXeVZ4TbaS4Ri7nva4PvFow?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,  Bogor,,,,,,,,,,,
Rumah Makan Lesehan Arayya,4.3,36 reviews,Padang restaurant,"Jl. Raya Cibeber No.1, Leuwimekar, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 8AM to 2AM,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.5722051, 106.6281346",https://www.google.com/maps/place/Rumah+Makan+Lesehan+Arayya/data=!4m7!3m6!1s0x2e69d98dff64c249:0x48d818ab91758ac1!8m2!3d-6.5722051!4d106.6281346!16s%2Fg%2F11fg5bs01f!19sChIJScJk_43ZaS4RwYp1kasY2Eg?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating,  Bogor,,https://rumah-makan-lesehan-arayya.business.site/,Accepts reservations,,,,,,,,
Warung makan sunda 77,5.0,3 reviews,Nasi restaurant,"Kp cemplang Rt11/03, Cemplang, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",phone:tel:082148188991, 5AM to 12:30AM,Delivery | Drive-through | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5753484, 106.6533091",https://www.google.com/maps/place/Warung+makan+sunda+77/data=!4m7!3m6!1s0x2e69dbcfbe3caa6d:0xa690d28254d5d9be!8m2!3d-6.5753484!4d106.6533091!16s%2Fg%2F11qg3kw526!19sChIJbao8vs_baS4RvtnVVILSkKY?authuser=0&hl=en&rclk=1,,  Bogor,,,Reservations required | Accepts reservations,,,,,,,,
"Warung Sate Madura, Mahruz/babon",4.8,5 reviews,Satay restaurant,"CMG6+29Q, Cibatok 1, Cibungbulang, Bogor Regency, West Java 16630 ",phone:tel:085770374757, Open 24 hours,Outdoor seating | Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only,"-6.5749233, 106.6609839","https://www.google.com/maps/place/Warung+Sate+Madura,+Mahruz%2Fbabon/data=!4m7!3m6!1s0x2e69dbbc5cf9c111:0xeccbaebac6d406a2!8m2!3d-6.5749233!4d106.6609839!16s%2Fg%2F11gg_199n3!19sChIJEcH5XLzbaS4RogbUxrquy-w?authuser=0&hl=en&rclk=1",, Bogor ,,,,,,,,,,,
Nasi Goreng Ciaruteun seri,5.0,1 review,Nasi goreng restaurant,"CMH9+R65, Cimanggu 1, Cibungbulang, Bogor Regency, West Java 16630 ",phone:tel:089614400757, 5PM to 2AM,Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5704838, 106.6681061",https://www.google.com/maps/place/Nasi+Goreng+Ciaruteun+seri/data=!4m7!3m6!1s0x2e69db76dbfbb327:0x37efda93933906c5!8m2!3d-6.5704838!4d106.6681061!16s%2Fg%2F11rcwyjp29!19sChIJJ7P723bbaS4RxQY5k5Pa7zc?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
NASI GORENG MISTER GEBOY,4.0,23 reviews,Nasi goreng restaurant,"CM86+MVM, Jl. Kapten Dasuki Bakri, Cibatok 1, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",phone:tel:085715308981, 5PM to 2AM,Outdoor seating | Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5832983, 106.6621833",https://www.google.com/maps/place/NASI+GORENG+MISTER+GEBOY/data=!4m7!3m6!1s0x2e69dbb05ad7a807:0x7529cafb3527c52f!8m2!3d-6.5832983!4d106.6621833!16s%2Fg%2F11d_v6sp6s!19sChIJB6jXWrDbaS4RL8UnNfvKKXU?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating,  Bogor,,,,,,,,,,,
Deny KBC BOGOR BARAT,4.8,5 reviews,Bakso restaurant,"CHJW+Q64, Jl. KH. Mama Bakry, Sadeng, Kec. Leuwisadeng, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:081211136180, Open 24 hours,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5681174, 106.5955731",https://www.google.com/maps/place/Deny+KBC+BOGOR+BARAT/data=!4m7!3m6!1s0x2e69d9e09ed2affd:0x5696bb10b691d46a!8m2!3d-6.5681174!4d106.5955731!16s%2Fg%2F11h3m9md1g!19sChIJ_a_SnuDZaS4RatSRthC7llY?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Simpang Raya Bogor Restaurant,4.3,878 reviews,Padang restaurant,"Jl. Pajajaran No.7, RT.04/RW.02, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143 ",phone:tel:081284423802, 8AM to 2AM,No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food,Lunch | Dinner | Catering | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,"-6.602693, 106.8056106",https://www.google.com/maps/place/Simpang+Raya+Bogor+Restaurant/data=!4m7!3m6!1s0x2e69c5fd453eb6f7:0xfa189427019de046!8m2!3d-6.602693!4d106.8056106!16s%2Fg%2F1ptx919gn!19sChIJ97Y-Rf3FaS4RRuCdASeUGPo?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating,  Bogor,$$,https://simpang-raya-bogor-restaurant.business.site/,Accepts reservations,Late-night fixture dishing up familiar Indonesian fare in a bright space with a colorful mural.,,,,,,,
Bogorkeun,,,Restaurant,"CJXH+7JV, Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",,,Takeaway | Dine-in,Halal food,,Good for kids,,,,"-6.551761, 106.6290606",https://www.google.com/maps/place/Bogorkeun/data=!4m7!3m6!1s0x2e69dd04be3258f9:0x914002eb0455a7ed!8m2!3d-6.551761!4d106.6290606!16s%2Fg%2F11sqxd4sf3!19sChIJ-VgyvgTdaS4R7adVBOsCQJE?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Agna Resto,5.0,1 review,Restaurant,"Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",phone:tel:085719189569, 9AM to 7PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,,"-6.5544618, 106.6314981",https://www.google.com/maps/place/Agna+Resto/data=!4m7!3m6!1s0x2e69db897ed291af:0x8a4d3a6bf17dc88a!8m2!3d-6.5544618!4d106.6314981!16s%2Fg%2F11j9ccd29p!19sChIJr5HSfonbaS4Rish98Ws6TYo?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
RM tanjung jaya,4.3,19 reviews,Restaurant,"CJXQ+27G, Jl. Raya Karehkel, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 9AM to 9:30PM,Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.5524324, 106.6382065",https://www.google.com/maps/place/RM+tanjung+jaya/data=!4m7!3m6!1s0x2e69db03d8914843:0x655d5117ea882402!8m2!3d-6.5524324!4d106.6382065!16s%2Fg%2F11j1385tjx!19sChIJQ0iR2APbaS4RAiSI6hdRXWU?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Bakso Mm 81,,,Restaurant,"Dukuh, Cibungbulang, Bogor Regency, West Java ",,,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,Groups,Cash only,"-6.5613707, 106.6541486",https://www.google.com/maps/place/Bakso+Mm+81/data=!4m7!3m6!1s0x2e69db92a032e8bb:0x79038188824ceae8!8m2!3d-6.5613707!4d106.6541486!16s%2Fg%2F11t28d5wcb!19sChIJu-gyoJLbaS4R6OpMgoiBA3k?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Asinan Bu Tati,4.5,2 reviews,Restaurant,"Jl. Raya Karehkel No.37, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:081286466422, 10AM to 3PM,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,"-6.549323, 106.6412378",https://www.google.com/maps/place/Asinan+Bu+Tati/data=!4m7!3m6!1s0x2e69ddd3d3479b17:0x744226938ee1525d!8m2!3d-6.549323!4d106.6412378!16s%2Fg%2F11jfc29lrf!19sChIJF5tH09PdaS4RXVLhjpMmQnQ?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Rm.Sunda,,,Restaurant,"CMV4+MP8, Jl. Cijujung Raya, Cijujung, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.5558388, 106.6568402",https://www.google.com/maps/place/Rm.Sunda/data=!4m7!3m6!1s0x2e69db8b8a369b63:0x1b4b4ba73a06f978!8m2!3d-6.5558388!4d106.6568402!16s%2Fg%2F11s2m1qlqy!19sChIJY5s2iovbaS4RePkGOqdLSxs?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Warung Uduk Bi Neneng,5.0,1 review,Restaurant,"CMV4+R8G, Cijujung, Cibungbulang, Bogor Regency, West Java 16630 ",, 10AM to 9PM,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only,"-6.5554446, 106.6558266",https://www.google.com/maps/place/Warung+Uduk+Bi+Neneng/data=!4m7!3m6!1s0x2e69db0d78bef809:0x2602ab948b3a23b6!8m2!3d-6.5554446!4d106.6558266!16s%2Fg%2F11lgc__4mf!19sChIJCfi-eA3baS4RtiM6i5SrAiY?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Bakso Gajah Mungkur Karehkel,4.3,121 reviews,Bakso restaurant,"CJWQ+R2P, Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",phone:tel:085775752661, 8AM to 9PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.5529167, 106.6375693",https://www.google.com/maps/place/Bakso+Gajah+Mungkur+Karehkel/data=!4m7!3m6!1s0x2e69dbf8f30f397d:0x8c739512c35b3449!8m2!3d-6.5529167!4d106.6375693!16s%2Fg%2F11dxkxqvfd!19sChIJfTkP8_jbaS4RSTRbwxKVc4w?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating, Bogor ,,,,,,,,,,,
Ayam Dadar Bandung Cabang Bogor Asri,,,Chicken restaurant,"perumahan Bogor asri blok AA1 no 12, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:08999568253, 7AM to 9:30PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-6.5517611, 106.6290606",https://www.google.com/maps/place/Ayam+Dadar+Bandung+Cabang+Bogor+Asri/data=!4m7!3m6!1s0x2e69dfc27921d4f1:0xc748119185f1903b!8m2!3d-6.5517611!4d106.6290606!16s%2Fg%2F11gnphwkl1!19sChIJ8dQhecLfaS4RO5DxhZERSMc?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Cibeber Fried Good (CFG),,,Restaurant,"Kp. Gunug Tangkil Barat RT/RW 001/003 Desa, Cibeber I, Kec. Leuwisadeng, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:085892828277, 10AM to 9PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,,"-6.566801, 106.6134453",https://www.google.com/maps/place/Cibeber+Fried+Good+(CFG)/data=!4m7!3m6!1s0x2e69d97008e3ea4d:0x999db784e7ad4cdc!8m2!3d-6.566801!4d106.6134453!16s%2Fg%2F11hsm5wpwl!19sChIJTerjCHDZaS4R3Eyt54S3nZk?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Rumah Makan Tanjung Raya,5.0,2 reviews,Indonesian restaurant,"Dukuh, Cibungbulang, Bogor Regency, West Java ",, 10AM to 9PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-6.5613033, 106.6541497",https://www.google.com/maps/place/Rumah+Makan+Tanjung+Raya/data=!4m7!3m6!1s0x2e69db92a023a853:0xbbdcefda10e18257!8m2!3d-6.5613033!4d106.6541497!16s%2Fg%2F11jwshy1bz!19sChIJU6gjoJLbaS4RV4LhENrv3Ls?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Lesehan Sahabat,4.5,24 reviews,Sundanese restaurant,"Jl. Raya Cibeber KM.22, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 10AM to 9PM,Outdoor seating | Delivery | Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.5686753, 106.6218723",https://www.google.com/maps/place/Lesehan+Sahabat/data=!4m7!3m6!1s0x2e69d95c15534977:0x61ae8105dca9abc7!8m2!3d-6.5686753!4d106.6218723!16s%2Fg%2F11bc7v1238!19sChIJd0lTFVzZaS4Rx6up3AWBrmE?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible seating,  Bogor,,,Accepts reservations,,,,,,,,
Az Zahra Restaurant,4.2,19 reviews,Restaurant,"CJM9+2H8, Jalan Raya, Cibeber I, Leuwiliang, Bogor Regency, West Java 16640 ",phone:tel:087873771594, 10AM to 9PM,Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,"-6.5674647, 106.6189638",https://www.google.com/maps/place/Az+Zahra+Restaurant/data=!4m7!3m6!1s0x2e69d95c30f9d245:0xb9cb3344bd39a6e6!8m2!3d-6.5674647!4d106.6189638!16s%2Fg%2F11f1n5tzyk!19sChIJRdL5MFzZaS4R5qY5vUQzy7k?authuser=0&hl=en&rclk=1,, Bogor ,,https://az-zahra-restaurant.business.site/,Accepts reservations,,,,,,,,
Juragan Bakso Putri Pandu,5.0,2 reviews,Bakso restaurant,"CJXQ+6FX, Jl raya pandu, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:085882242410, 9 to 10AM,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5518773, 106.6387301",https://www.google.com/maps/place/Juragan+Bakso+Putri+Pandu/data=!4m7!3m6!1s0x2e69dbe5d6dbc1f1:0xe5684ddf290a119d!8m2!3d-6.5518773!4d106.6387301!16s%2Fg%2F11f8hyg3y2!19sChIJ8cHb1uXbaS4RnREKKd9NaOU?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Warung Gado Gado Mamih Ria,,,Restaurant,"Perumahan BTN, Blok C No. 06, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 10AM to 6PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-6.5689035, 106.6260452",https://www.google.com/maps/place/Warung+Gado+Gado+Mamih+Ria/data=!4m7!3m6!1s0x2e69d9bf78cdaae3:0xa64b61bf40ebd7fc!8m2!3d-6.5689035!4d106.6260452!16s%2Fg%2F11sfh5z4_3!19sChIJ46rNeL_ZaS4R_NfrQL9hS6Y?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Bakso solo 99,,,Restaurant,"CMW4+5XX, Jl. Jatake, Cijujung, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Cosy,,Cash only,"-6.5545233, 106.6574826",https://www.google.com/maps/place/Bakso+solo+99/data=!4m7!3m6!1s0x2e69db197b35c53f:0x81271f01b6a9a65e!8m2!3d-6.5545233!4d106.6574826!16s%2Fg%2F11kp7n_bjb!19sChIJP8U1exnbaS4RXqaptgEfJ4E?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Warteg Sid Ajadi,3.0,2 reviews,Tegal restaurant,"Leuwisadeng, Bogor Regency, West Java ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,,Cosy,,Cash only,"-6.5657088, 106.6139488",https://www.google.com/maps/place/Warteg+Sid+Ajadi/data=!4m7!3m6!1s0x2e69d94450bf6293:0x4013361d49226867!8m2!3d-6.5657088!4d106.6139488!16s%2Fg%2F11j445m_mh!19sChIJk2K_UETZaS4RZ2giSR02E0A?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance, Bogor ,,,,,,,,,,,
Padepokan H. Gazali Bey,4.5,22 reviews,Restaurant,"CJFR+9FJ, Cemplang, Cibungbulang, Bogor Regency, West Java 16630 ",phone:tel:08161320938, 8AM to 6PM,Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,"-6.5765311, 106.6411335",https://www.google.com/maps/place/Padepokan+H.+Gazali+Bey/data=!4m7!3m6!1s0x2e69dbc3525c487d:0x602b642aa612442c!8m2!3d-6.5765311!4d106.6411335!16s%2Fg%2F11g8vt820w!19sChIJfUhcUsPbaS4RLEQSpipkK2A?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating, Bogor ,$,,,,,,,,,,
Rm. ABG,1.0,1 review,Restaurant,"CJHR+WJV, Jl raya, Galuga, Cibungbulang, Bogor Regency, West Java 16630 ",phone:tel:081285937142,,Delivery | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.570149, 106.6415418",https://www.google.com/maps/place/Rm.+ABG/data=!4m7!3m6!1s0x2e69db181f3d2fb1:0x39bd75c01c38fc60!8m2!3d-6.570149!4d106.6415418!16s%2Fg%2F11fnqwbvlw!19sChIJsS89HxjbaS4RYPw4HMB1vTk?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Anung seafood Leuwiliang,3.8,4 reviews,Seafood restaurant,"Jl. Lkr. Leuwiliang, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:085774304426, 7AM to 8:01PM,No-contact delivery | Delivery | Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,,"-6.5694182, 106.6303429",https://www.google.com/maps/place/Anung+seafood+Leuwiliang/data=!4m7!3m6!1s0x2e69dbe35a1007cd:0x4ecf03997fefa1d7!8m2!3d-6.5694182!4d106.6303429!16s%2Fg%2F11nz3nx69k!19sChIJzQcQWuPbaS4R16Hvf5kDz04?authuser=0&hl=en&rclk=1,,  Bogor,,,Reservations required | Accepts reservations,,,,,,,,
Kedai Nur resti,5.0,3 reviews,Restaurant,"Jl. Raya Karehkel No.18, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 10AM to 8PM,Delivery | Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5732641, 106.6323366",https://www.google.com/maps/place/Kedai+Nur+resti/data=!4m7!3m6!1s0x2e69db5f8cf1ebff:0x7203ae9a86905f32!8m2!3d-6.5732641!4d106.6323366!16s%2Fg%2F11mvgmgfrz!19sChIJ_-vxjF_baS4RMl-QhpquA3I?authuser=0&hl=en&rclk=1,,  Bogor,,,,,,,,,,,
Burger Bangor Leuwiliang,4.5,120 reviews,Hamburger restaurant,"CJHF+XHP, Jalan Raya, Cibeber I, Leuwiliang, Bogor Regency, West Java 16640 ",phone:tel:081315582566, 10AM to 10PM,,Coffee | Halal food | Kids' menu,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Debit cards,"-6.5700458, 106.6239486",https://www.google.com/maps/place/Burger+Bangor+Leuwiliang/data=!4m7!3m6!1s0x2e69d9ba8a5ce6ef:0xa8c8d583ddb71205!8m2!3d-6.5700458!4d106.6239486!16s%2Fg%2F11q2w14pkz!19sChIJ7-ZcirrZaS4RBRK33YPVyKg?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park, Bogor ,,,Accepts reservations,,Fireplace,,,,,,
Hegar Manah Rumah Makan,4.1,13 reviews,Restaurant,"Pasar Leuwiliang Blok B No. 29, Jl. Raya Leuwiliang, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",, 9AM to 9PM,Takeaway | Dine-in,Coffee | Halal food,Breakfast | Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-6.572272, 106.622332",https://www.google.com/maps/place/Hegar+Manah+Rumah+Makan/data=!4m7!3m6!1s0x2e69d95df72bc27d:0x642283aaedd8e45c!8m2!3d-6.572272!4d106.622332!16s%2Fg%2F11gzb8lc5!19sChIJfcIr913ZaS4RXOTY7aqDImQ?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating,  Bogor,,,Accepts reservations,,,,,,,,
Isman,,,Restaurant,"CJGP+J2V, Leuwiliang, Bogor Regency, West Java 16640 ",,,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,"-6.5733937, 106.6350492",https://www.google.com/maps/place/Isman/data=!4m7!3m6!1s0x2e69db21b2312b99:0xdad1454db015dd8!8m2!3d-6.5733937!4d106.6350492!16s%2Fg%2F11k8g4ms6l!19sChIJmSsxsiHbaS4R2F0B21QUrQ0?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Ayam Geprek Aa,5.0,1 review,Chicken restaurant,"Leuwisadeng, Bogor Regency, West Java ",,,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-6.5657545, 106.6145667",https://www.google.com/maps/place/Ayam+Geprek+Aa/data=!4m7!3m6!1s0x2e69d944f82ba713:0x786fccdea0272b69!8m2!3d-6.5657545!4d106.6145667!16s%2Fg%2F11k5t57prn!19sChIJE6cr-ETZaS4RaSsnoN7Mb3g?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Restoran Perahu Layar,4.1,478 reviews,Seafood restaurant,"jasinga Km 18 kampung jambu Rt 02/02, Kabupaten Bogor, Jawa Barat 16640 ",phone:tel:081511213639, 10AM to 9:30PM,Outdoor seating | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food | Vegetarian options,Brunch | Lunch | Dinner | Catering | Dessert,Bar on site | Good for kids | Toilets | Free Wi-Fi,Casual | Cosy,Family friendly | Groups,Cash only | Debit cards,"-6.5639532, 106.607284",https://www.google.com/maps/place/Restoran+Perahu+Layar/data=!4m7!3m6!1s0x2e69d947c5ede309:0x8ecef32ffebaeecc!8m2!3d-6.5639532!4d106.607284!16s%2Fg%2F11gfp0ztxn!19sChIJCePtxUfZaS4RzO66_i_zzo4?authuser=0&hl=en&rclk=1,Wheelchair-accessible entrance | Wheelchair-accessible seating,  Bogor,$$,,Accepts reservations,,,,,,,,
Warung Nasi Masakan Sunda Barokah,,,Restaurant,"Cimanggu 1, Cibungbulang, Bogor Regency, West Java ",, 9AM to 9PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-6.5721, 106.6670792",https://www.google.com/maps/place/Warung+Nasi+Masakan+Sunda+Barokah/data=!4m7!3m6!1s0x2e69dba28c0aab25:0xdc834fe868428d63!8m2!3d-6.5721!4d106.6670792!16s%2Fg%2F11h5kmdtjr!19sChIJJasKjKLbaS4RY41CaOhPg9w?authuser=0&hl=en&rclk=1,, Bogor ,,,,,,,,,,,
Tuang Food and Coffee,4.6,84 reviews,Seafood restaurant,"Jl. Raya Cibungbulang No.74, Dukuh, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16118 ",, 11AM to 10PM,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,"-6.5755786, 106.6467998",https://www.google.com/maps/place/Tuang+Food+and+Coffee/data=!4m7!3m6!1s0x2e69dbd201cc4a73:0xfba6bf8f1a9834e7!8m2!3d-6.5755786!4d106.6467998!16s%2Fg%2F11rgcz4tbw!19sChIJc0rMAdLbaS4R5zSYGo-_pvs?authuser=0&hl=en&rclk=1,,  Bogor,,,Accepts reservations,,,,,,,,
